Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,Answer 5,#5,Answer 6,#6,Answer 7,#7
Name An Activity That’s More Fun To Do When It’s Raining Outside,Play Football,17,Dance,16,Swim,15,Sleep,13,Read,11,Watch TV/Movie,10,Jog,9
Name A TV Show You’d Never Want Your Name Mentioned On.,Jerry Springer,33,Cops,17,Cheaters,14,The Nightly News,12,America’s Most Wanted,6,Oprah Winfrey,5,Judge Judy,3
Name An Item A Company Might Put Their Logo On And Give Out For Free.,Pen,47,Hat,18,Shirt,16,Food Service,7,Magnet,4,Cup,3,Key Chain,3
Name A Word Or Phrase That Has The Word “Key” In It.,Key Chain,28,Keyhole,19,Keyboard,12,House Key,10,Door Key,9,Keystone,9,Keynote,9
Why Might You Have To Stop The Car During A Long Ride?,Use Bathroom,40,Get Gas,18,Eat,15,Car Trouble,11,Need Rest,7,Car Sick,5,Kids Fighting,4
Name Something You Might See At A High School Homecoming.,Queen,26,Balloons,17,Float,14,Football Game,11,Dresses,11,Limos,10,King,7
What Do Parents Do As Part Of Their Children’s bedtime Routine?,Read,43,Tuck Them In,17,Brush Teeth,10,Give Bath,9,Pray,6,Sing,6,Kiss Goodnight,5
Name An Animal That A Person Can Be Referred To As,Dog,49,Pig,24,Tiger,6,Bear,5,Fox,4,Cow,3,Kitten,3
Name Something You Remember About The Tv Show “M*A*S*H”,Hot Lips,26,Hawkeye,22,Radar,16,War,12,Doctors,8,Theme Music,5,Klinger,5
Name Something Most Parents Can’t Wait Until Their Child Starts Doing On His Own,Walking,38,Driving,18,Using Bathroom,14,Eating,8,Paying Bills,6,Dressing,5,Laundry,5
Name Something People Associate With The TV Show “60 Minutes”,Investigative Pieces,18,Andy Rooney,16,Ticking Clock,14,Tough Questions,14,Dan Rather,14,Mike Wallace,11,Leslie Stahl,9
Name A Type Of Animal That Can Be Found In The Cereal Box,Tiger,31,Rabbit,22,Parrot,13,Bear,13,Monkey,11,Kangaroo,5,Lion,5
"If You Were Forming A Relay Race Team, Which Animals Would You Choose For Teammates?",Cheetah,50,Horse,20,Rabbit,7,Jaguar,7,Dog,5,Tiger,5,Lion,5
Name Something You Do To Calm Yourself After Becoming Very Angry.,Breathe,25,Smoke,24,Walk,18,Count To 10,15,Eat Something,7,Meditate,4,Listen To Music,4
Name Something People Do To Help Them Fall Asleep At Night.,Sleeping Pill,18,Count Sheep,16,Drink Warm Milk,16,Read,13,Watch TV,10,Listen To Music,8,Listen To The Radio,5
Name Something A Little Kid Might Tell You About Santa Claus.,He’s Plump,33,Is Jolly,14,Has A Beard,14,Wears A Red Suit,12,He’s Real,11,Brings Presents,9,Lives At North Pole,3
Name Something Related To Finances That It’s Hard To Explain To A Kid.,Taxes,37,Credit,25,Interest,12,Budget,8,Stocks,7,Mortgage,6,Loans,3
Name An “Extra” You Might Pay More For At The Gym,Personal Trainer,28,Massage,18,Laundry Service,15,Food/ Drink,14,Pool Access,9,Tanning Bed,7,Locker Room Use,3
Name A Famous Beach,Venice,31,Daytona,16,Malibu,13,Huntington,11,Pebble,10,Miami,7,Long,7
Name Something People Do To Let You Know They’re Bored,Yawn,45,Sigh,22,Sleep,10,Roll Their Eyes,9,Twiddle Thumbs,4,Tap Fingers,3,Look At Watch,3
Name Something Of Yours That You’d Be Angry To Find A Partner Snooped Into,Diary,44,Purse/ Wallet,25,Cell Phone,9,Underwear Drawer,5,Online Accounts,4,Bank Account,4,Mail,3
Name Something That A Person From A Warm Climate Wouldn’t Know How To Do In The Snow.,Drive,42,Ski,26,Walk Through It,14,Shovel,5,Sled,5,Dress,3,Make A Snowman,3
Name A Job Aquaman Could Do If He Couldnâ€™T Be A Superhero Anymore,Lifeguard,31,Swim Coach,18,Swimmer,17,Fisherman,10,Pool Cleaner,6,Plumber,5,Marine Biologist,4
Name Something You Would Change If You Could In Your Life,Job,36,Salary,21,Weight,14,Age,13,Looks,7,Name,3,Marriage,3
Tell Me A City In Which You’d Never Be Bored,New York City,44,Las Vegas,26,Paris,9,Los Angeles,7,Chicago,5,New Orleans,4,Miami,4
Name A Male Performer Past Or Present Known For Wearing Outrageous Clothing,Elton John,33,Liberace,19,Prince,12,Elvis,9,Boy George,8,Dennis Rodman,7,Michael Jackson,7
Name Something No Christmas Party Should Be Without.,Egg Nog,23,Tree,19,Gifts,17,Santa Claus,14,Drinks,9,Food,9,Mistletoe,5
"When Traveling In A Foreign Country, Name Something You’d Hate To Forget The Word For.",Bathroom,43,Hello,19,Food,9,Thank You,8,Help,7,Please,6,Money,5
name A Slender Animal that Wouldn’t Make A Very Good Piggy Bank.,Snake,35,Giraffe,33,Cat,14,Deer,5,Pony,5,Lizard,3,Monkey,3
"If You Were An Earth Tour Guide, Which Landmarks Would You Show To An Alien?",Grand Canyon,36,Statue Of Liberty,25,White House,11,Eiffel Tower,8,Egyptian Pyramids,8,Great Wall Of China,5,Mount Rushmore,4
Name Something You See A Lot Of When You Look Out The Window On A Long Car Ride.,Trees,41,Vehicles,26,Fields,9,Cows,8,Road,6,Billboards,4,Mountains,3
"While Vacationing, What Might A Cheapskate Buy As Souvenirs For Her Friends?",Postcard,32,Keychain,28,T Shirt,10,Magnet,9,Shot Glass,9,Pen,4,Mug,4
Name A Typical Holiday Casserole.,Green Bean,23,Tuna,21,Chicken,17,Turkey,15,Sweet Potato,11,Broccoli,5,Mushroom,2
Name Something That Goes Well With A Juicy Steak,Baked Potato,41,Salad,12,Fries,10,Wine,10,Beer,9,Steak Sauce,8,Mushrooms,7
Name Something You Would Hate To Go On A Road Trip Without.,Map/ GPS,35,Money,26,Snacks,18,Change Of Clothes,6,Cell Phone,5,Family/ Friends,4,Music,4
"Besides Dishes And Utensils, What Else Do You Need To Host A Fancy Dinner Party?",Fancy Food,42,Wine,13,Napkins,12,Candles,8,Cocktail Glasses,7,Flowers,6,Music,4
Name Something That Fast Food Rarely Comes Without,Fries,47,Ketchup,14,Grease,9,Salt,8,Fat,7,Beverage,6,Napkins,5
Name An Excuse Someone Might Give To Get Ahead Of You In The Check Out Line,In A Hurry,42,Not Feeling Well,15,Late For Work/ Appt.,11,Emergency,10,Few Items,7,Kids With Them,6,Need To Use Bathroom,5
Name A Musical Instrument That’s Difficult To Play,Violin,34,Harp,14,Piano,14,Guitar,11,Flute,9,Trumpet,9,Oboe,5
Name Something A Child Might Sleep With,Teddy Bear,39,Blanket,31,Pillow,10,Parents,7,Doll,5,Night Light,4,Pacifier,3
What Places Are Most Likely To Get Tagged With Graffiti?,Subway Station,26,Overpass,23,TRains,22,Buildings,18,Billboards,4,Bathrooms,3,Parks,3
Name A Food That People Get Fed In A Romantic Situation.,Strawberries,38,Chocolate,17,Grapes,10,Steak,9,Oysters,9,Lobster,8,Pasta,7
Name Something A Woman Might Wish Her Husband Had More Of,Money,41,Hair,28,Time,7,Muscles,5,Love,5,Energy,3,Patience,3
Name A Fruit That You Rarely See Made Into Juice,Banana,42,Pear,14,Kiwi,13,Watermelon,12,Plum,6,Strawberry,5,Peach,5
"If You Ordered A Pizza With “The Works”, Name A Topping That You’d Expect.",Pepperoni,33,Onions,27,Mushrooms,14,Sausage,10,Olives,6,Anchovies,3,Peppers,3
Name A Hygiene Product That You Hope Your Office Mate Uses Every Day.,Soap,34,Deoderant,30,Toothpaste,19,Shampoo,5,Mouthwash,4,Hand Sanitizer,4,Perfume,3
Name Something You Would Hate To Find Under Your Bed,Monster,43,Snake,16,Rotting Food,12,Spider,10,Rodent,8,Dust,4,Person,3
Name Something That A Person Might Ask To Have Signed,Check,33,Photo,13,Contract,12,Shirt,11,Book,10,Ball,6,Petition,6
"When You Donâ€™t Want To Get Out Of Bed In The Morning, Name Something That Gets You Up Anyway",Alarm,35,Kids,31,Work,16,Pet,5,Hunger,4,Sunlight,4,Phone,3
Which Items Are Most Commonly Found In A Restaurant’s Lost-And-Found Box?,Keys,30,Glasses,16,Gloves,15,Umbrella,10,Jacket,7,Wallet,6,Phone,5
Name Something In Your House That You’d Hate To Find Wasn’t Working,TV,41,Refrigerator,14,Toilet,12,Stove,9,Computer,8,Washing Machine,7,Phone,6
Tell Me Something You Might Find In A Nurse’s Pocket.,Pen,45,Thermometer,18,Syringe,11,Watch,9,Stethoscope,7,Gloves,5,Pills,3
Name A Job Which Might Require Someone To Work On Christmas.,Nurse,22,Doctor,17,Work In Store,15,Police,15,Santa Claus,8,Restaurant,5,Pilot,4
Name Something You’D Expect To See A Lot Of In Hawaii,Beaches,25,Flower Necklace,25,Palm Trees,15,Water,9,Hula Dancers,7,Girls In Bikinis,7,Pineapples,7
Name An Activity Kids Do In The Car That They Can Also Do At Home.,Read,22,Sing,21,Coloring Books,17,Sleep,11,Watch TV,9,Eat,6,Play Games,5
Name Something You Can Use To Get Your Car Out Of The Snow.,Shovel,55,Tow Truck,13,Chains,9,Salt,8,Sand,7,Cat Litter,4,Plow,3
Name A Famous Dog,Lassie,43,Snoopy,17,Benji,9,Scooby Doo,7,Rin Tin Tin,6,Clifford,5,Pluto,4
Name Something You Might See At A Crime Scene,Blood,22,Police,20,Body,19,Yellow Tape,14,Chalk Outline,8,Dog,6,Police Car,6
Name Something That Even A Very Small Town Usually Has One Of,Gas Station,25,Post Office,21,Bank,15,Church,14,Grocery Store,9,Bar,8,Police Station,4
Tell Me A Place You Would Dread Being When Your Laxative Kicks In,Work,40,Church,21,School,10,Car,9,Movies,9,Airplane,5,Pool,4
Which Foods Are You Most Likely To Grab For A Late Night Snack?,Chips,39,Cookies,24,Ice Cream,11,Pizza,10,Sandwich,8,Cereal,5,Popcorn,3
Name Something Kids Love To Eat That Adults Like Too.,Ice Cream,30,Candy,18,Pizza,16,Cookies,9,Hot Dog,8,French Fries,7,Popsicle,7
Tell Me Who Was At The Door The Last Time You Pretended Not To Be Home.,Salesperson,29,Collections/Landlord,19,Parents/In Laws,12,Neighbor,12,Cops,10,Friend,10,Postal Worker,6
Name Something You’d Be Disappointed To Find Your Computer Came Without,Monitor,26,Mouse,25,Keyboard,16,Speakers,10,Internet Capability,5,Windows,4,Power Cord,3
"In Movies, Name An Occupation That’s Almost Always Played By Men",Doctor,43,Cop,24,Lawyer,18,Detective,5,Cowboy,4,Firefighter,3,President,3
Which Class Do Students Take In College Thinking It Would Be An Easy “A”?,Art,33,English,26,Gym,24,Music,5,Cooking,4,Drama,3,Psychology,3
Name A Kitchen Item That Might Be Used To Make Lava On A Volcano Model,Baking Soda,32,Ketchup,32,Jell O,8,Water,7,Soda,5,Tomato Sauce,5,Pudding,4
Name A Professional Football Team That’s Named For An Animal.,Bears,39,Dolphins,13,Lions,12,Eagles,11,Panthers,7,Colts,6,Rams,5
Name Something That Both Men And Women Use To Get Ready For A Date,Shower,34,Fragrance,26,Comb,15,Toothpaste/Brush,9,Deodorant,5,Mirror,4,Razor,4
Name Something Kids Do Over Their Summer Vacation,Swim,32,Play,24,Go To Camp,17,Sleep In,12,Travel,5,Watch TV,3,Read,3
Name Something A Drive-Thru Worker Might Forget To Give You That Would Be Annoying.,Straw,26,Change,20,Napkins,19,Ketchup,13,Food,11,Drink,7,Receipt,3
What Do Parents Most Like To Receive From Their Children?,Hugs,37,Love,23,Kisses,11,Good Grades,8,Artwork,6,Cards,6,Respect,5
Name A Specific Type Of Business That Usually Has An ATM Inside,Bank,29,Grocery Store,22,Gas Station,20,Convenience Store,15,Bar,4,Casino,4,Restaurant,3
Name A Place That Gets Crowded At The End Of A Work Day,Bar,26,Highway,20,Bank,18,Public Transit,9,Shopping Center,9,Grocery Store,7,Restaurant,6
Name Something Politicians Always Say They’ll Improve,Tax System,25,Budget Deficit,21,Health Care,17,Schools,14,War,9,Welfare,7,Roads,4
Name Something Specific A Person Might Do During An Argument That Makes Their Partner Really Angry,Raise Voice,36,Laugh,17,Curse,10,Walk Away,10,Ignore Them,9,Name Calling,4,Roll Eyes,4
Name A Game That Has A Specific Type Of Table,Pool,41,Poker,27,Ping Pong,10,Chess,7,Foosball,5,Monopoly,4,Roulette,3
Which Sports Are You Most Likely To Break An Arm Playing?,American Football,43,Hockey,17,Wrestling,14,Baseball,14,Basketball,5,Skiing,3,Rugby,3
What Hobby Or Activity Could Cause A Man To Have Missing Teeth?,Boxing,45,Hockey,33,Football,6,Drugs,5,Baseball,3,Wrestling,3,Rugby,3
Name Something You’d Expect To Find On A Pirate’s Ship,Pirates,36,Treasure,26,Parrot,16,Pirate Flag,7,Sword,5,Plank,4,Rum,3
Name An Occupation You Associate With Having A Positive Attitude,Teacher,31,Doctor,24,Customer Service,14,Food Server,8,Therapist,7,Nurse,5,Salesperson,5
Name A Type Of Business That Has Regular Customers,Restaurant,30,Grocery Store,19,Bar,17,Coffee Shop,13,Bank,9,Gas Station,5,Salon,4
Name Something You’d Never Forget To Do On Christmas Day,Exchange Gifts,39,Eat,20,Wake Up,14,Cook,12,Sing,4,Go To Church,3,Say Merry Christmas,3
Name A Public Place That You Can Almost Never Park Right In Front Of.,Hospital,26,Police Station,18,Courthouse,12,Shopping Center,11,Post Office,10,Bank,10,School,7
Name A Place Where You Don’t Want Front Row Seats,Movie Theater,34,Place Of Worship,23,Concert,12,Funeral,10,Seaworld,7,Circus,4,School,3
Where Might You Be If You’re Sitting In A Cramped Spot For A Long Time?,Car,33,Airplane,30,Bus,19,Train,5,Church,4,Jail,3,School,3
Name A Cartoon Character Who Never Seems To Get Any Older,Mickey Mouse,24,Charlie Brown,23,Bart Simpson,15,Bugs Bunny,15,Dennis The Menace,8,Lisa Simpson,5,Scooby Doo,5
Tell Me Something That Is Impossible To Do With Freshly Painted Nails.,Eat,26,Type,23,Write,10,Cook,10,Get Dressed,10,Wash Dishes,9,Scratch An Itch,9
Name Something You’d Hate To Have Happen While Driving A New Car Home,Crash,54,Flat Tire,15,Break Down,13,Rain,6,Run Out Of Gas,4,Speeding Ticket,3,Scratch It,5
Name Something Found At The Bottom Of The Ocean,Sand,35,Fish,21,Seashells,12,Rock,10,Sunken Ship/ Treasure,9,Coral,5,Seaweed,5
Name A 2-Word Phrase That Includes The Word “Secret”,Secret Garden,26,Top Secret,21,Secret Agent,17,Secret Admirer/ Lover,14,Secret Service,6,Secret Santa,4,Secret Society,3
Name A Reason Why A Woman Wouldn’t Change Her Last Name After Marrying.,Famous,34,Business Reasons,28,Family Connection,13,Believes In Keeping,8,Dislikes Husband’s,4,Too Much Paperwork,4,Shares It With Child,3
Name An Animal A Lion Likes To Eat,Deer,25,Zebra,24,Rabbit,20,Antelope,9,Gazelle,8,Mice,5,Sheep,5
Name Something You’d Find In A School Lost-And-Found Box.,Jacket,33,Hat,22,Gloves,16,Lunch Box,7,Glasses,7,Book,6,Shoes,5
Name Something You’d Be Surprised To Hear That A Celebrity Did For Herself,Cook,38,Clean,19,Style Her Hair,12,Drive,10,Laundry,7,Make Up,5,Shop,5
What Does A Child Do More Of Once They Become A Teenager?,Argue,30,Eat,14,Party,11,Sleep,10,Date,10,Talk On The Phone,8,Shop,5
"Name Something Men Do Today, But Probably Didn’t Do 50 Years Ago.",Cook,50,Clean,15,Watch TV,14,Change Diapers,9,Use Computer,4,Use Cell Phone,3,Shop,3
"Name Something You Do Each Day, But You Never See Soap Opera Characters Doing.",Laundry,31,Clean,22,Eat,14,Go To Work,10,Go To Sleep,8,Use The Bathroom,7,Shop,5
Name Something A Person Might Accidentally Leave Behind In A Taxicab.,Purse/Wallet,36,Cell Phone,17,Coat,13,Keys,9,Briefcase/Suitcase,9,Umbrella,9,Shopping Bags,3
Name A Hobby Or Activity In Which You’d Love To Get Lessons From A Pro.,Golf,44,Tennis,19,Piano,10,Football,8,Playing Guitar,6,Dancing,6,Singing,4
Name Something Your Child Knows About You That You Hope She’s Not Telling Strangers,Age,42,Weight,26,Address,12,Phone Number,6,Income,4,Drinking Habits,3,Sleep Naked,3
Name Something About Which Many People Have Phobias.,Spiders,37,Heights,25,Snakes,14,Water,7,Darkness,6,Flying,4,Small Spaces,3
Name Something You’d Be Shocked To See A Celebrity Wear On The Red Carpet.,Jeans,38,Bikini,19,Birthday Suit,14,Shorts,7,Underwear,5,Sweats,4,Sneakers,4
Tell Me Something You Close Your Mouth To Try To Keep From Doing,Talking,22,Yawning,20,Laughing,18,Coughing,11,Sneezing,10,Snacking,9,Snoring,5
Name Something Specific That Piles Up Before You Can Get To It.,Laundry,28,Bills,23,Dishes,22,Trash,11,Mail,8,Leaves,4,Snow,3
Name A Piece Of Information You’d Be Surprised To Find On Someone’s Business Card.,Age,49,Home Address,14,Weight,18,Home Phone,7,Marital Status,6,Religon,5,Social Security,5
Name An Article Of Clothing That You Wouldn’t Wear To Bed,Shoes,31,Jeans,23,Hat,14,Bra,9,Dress,8,Jacket,8,Socks,4
Name Something That Tastes Better Plain Than Fruit-Flavored,Water,43,Yogurt,25,Gum,11,Milk,10,Tea,3,Medicine,3,Soda,3
Name An Article Of Clothing Associated With A Foreign Country.,Kimono,30,Beret,18,Kilt,14,Serape,10,Poncho,8,Turban,8,Sombrero,7
"Where Do You Go,Specifically,To Find Peace And Quiet?",Library,36,Bedroom,26,Bathroom,15,Park,9,Church,7,Beach,3,Spa,3
Name A Kitchen Item That A Man Generally Does Not Own Until He Is Married,Blender,40,Toaster,22,Mixer,15,Dishwasher,11,Pan,4,Knife,4,Spatula,3
Name Something Embarrassing That Can Happen If You Laugh Too Hard.,Pass Gas,37,Wet Pants,30,Snort,13,Choke,6,Cry,6,Nose Runs,3,Spit,3
"Other Than Coins, Name Something People Collect",Stamps,38,Dolls,20,Cars,17,Rocks,12,Toys,4,Seashells,3,Spoons,3
What Might You Put In The Yard If You Had Nosey Neighbors?,Fence,51,Dog,27,Camera,5,Trees,4,Trespassing Sign,4,Bushes,3,Sprinkler,3
"If You Could Describe Yourself As A Shape, Name The Shape You Would Be?",Triangle,33,Circle,22,Square,14,Oval,9,Rectangle,9,Diamond,4,Star,3
Name Something More Than Difficult To Do When Driving A Car With Stick Shift,Eat/ Drink,52,Talk On Phone,22,Smoke,8,Change Gears,5,Stop,4,Park,3,Steer,3
Name Something California Has More Of Than Any Other State,People,19,Movie Stars,15,Earthquakes,15,Smog,13,Beach,11,Palm Trees,11,Sunshine,10
Name A Bad Job For Someone Who’s Accident Prone,Driver,33,Construction,20,Police Officer,11,Food Service,10,Glass Maker,9,Window Washer,7,Surgeon,6
Name Something That Makes You Feel Better When You’re Having A Bad day.,Food,46,Drink,29,Hug,7,Friend,5,Music,4,Watching TV,3,Taking Bath,3
Name Something A Beauty Queen and A Figure Skater Have In Common,Pretty,36,Graceful,23,Skinny,11,Costumes,9,Makeup,7,In Shape,6,Talent,4
What Might Someone Do While Sleeping That Tells You They’re Having A Nightmare?,Scream,50,Cry,16,Kick,6,Sweat,5,Thrash,5,Jump,3,Talk,3
What Might A Date Do In The First 5 Minutes That Tells You They Have Bad Manners?,Burp,40,Leave,15,Spit,14,Try To Kiss You,11,Swear,7,Not Open Door,7,Talk On Phone,3
"If Adults Had Fight Like Toddlers Do, What Might Your Spouse Do The Next Time You Disagreed?",Cry,30,Bite,24,Pull Hair,19,Pout,8,Throw Something,6,Scream,6,Tantrum,4
What Might You FInd In A Briefcase That Would Make You Think It Belonged To A Spy?,Weapon,44,Camera,18,Money,13,Magnifying Glass,8,Binoculars,6,Spy Glasses,4,Tape Recorder,4
Name Something Specific A Teen Might Do That Shows They’re Rebelling,Try A Cigarette,35,Stay Out Late,19,Dye Hair,9,Run Away,8,Sneak Out,7,Talk Back,6,Tattoo,5
Name A Job That You’d Need A License To Do,Doctor,33,Truck Driver,17,Nurse,12,Taxi Driver,12,Bus Driver,9,Electrician,7,Teacher,5
Name Something A Leprechaun Would Have Made For Himself Out Of Gold,Necklace,21,Shoes,20,Hat,19,Ring,15,Clover,8,Pot,8,Teeth,5
Name Something That A Child Often Loses,Teeth,35,Toys,34,Money,13,Homework,7,Gloves,4,Jacket,3,Temper,3
Name The Worst Thing To Lose While On Vacation,Money,56,Passport,11,Luggage,10,Cellphone,7,ID/ License,6,Keys,4,The Kids,3
Name A Place Where You’d Find Colorful Neon Lights,Las Vegas,23,Theater,19,Times Square,18,Bar,16,Store,11,Motel,8,Theme Park,5
Name A Good Job For Someone Who Asks A Lot Of Questions.,Lawyer,27,Reporter,21,Telemarketer,17,Doctor,11,Detective,10,Teacher,6,Therapist,4
Name A Reason a Person Might Get Rid Of A Pet.,Moving,28,They Attack People,21,Not Housebroken,12,Too Messy,11,Chew Things,10,Sickness,8,They’re Allergic,8
Name Something Guests Do At A Wedding,Dance,37,Drink,21,Eat,17,Cry,11,Chat,5,THrow Rice,4,Toast The Couple,4
Name A Place You May Keep Your Keys While Swimming,Locker,47,Beach Bag,12,Purse,12,Pocket,9,Cars,6,Shoes,5,Towel,5
Name Something You Find In A Little Boy’s Pocket.,Rocks,26,Marbles,19,Frog,18,Dirt,10,Worms,8,Candy,7,Toy Car,7
Name Something Dogs Get More Excited About Than People.,Bones,27,Food,21,People,11,Treats,11,Other Dogs,11,Going For A Walk,7,Toys,7
Name Something That Might Be Lying On A Teenager’s Floor,Clothes,39,Shoes,18,Books,15,Food,12,Magazines,4,CD’s,4,Trash,4
What Might You Find Out About A Job That Would Keep You From Accepting It?,Low Pay,37,Hours Are Bad,27,Mean Boss,11,Location,10,No Benefits,5,Dangerous,4,Travel A Lot,3
Which Orchestra Instrument Would Be Most Effective If You Wanted To Wake Someone Up?,Trumpet,40,Tuba,23,French Horn,17,Drums,7,Cymbals,5,Xylophone,3,Tromebone,3
Name Something Associated With A Teenage Girls Sleepover,Pillow Fight,25,Boys,18,Makeovers,18,Chitchat,12,Junk Food,8,Watching Movies,7,Truth or Dare,3
Name Something People Spend THeir Tax Returns On.,Car,33,Clothes,22,Bills,15,Vacation,12,Food,6,Furniture,4,TV,3
Name A Magazine You See At Supermarket Checkout Stands,National Enquirer,30,People,22,Star,12,Time,9,Cosmopolitan,8,Seventeen,8,TV Guide,6
Name A Cartoon Character Who Has Trouble Pronouncing Words,Daffy Duck,29,Porky Pig,24,Elmer Fudd,23,Donald Duck,9,Bugs Bunny,6,Sylvester,4,Tweety Bird,3
Which Terms For Weather Phenomena Could A Roller Coaster Be Named After?,Tornado,32,Hurricane,29,Twister,20,Thunder,6,Cyclone,5,Tsunami,3,Typhoon,3
"What Do You Find Out About A Hotel Ahead Of Time, When Deciding Whether To Stay There?",Price,39,Pool,22,Location,20,Star Rating,7,Includes Breakfast,5,Clean,3,Vacancy,3
Name A Specific Expense That You’d Save On If You Didn’t Have Any Kids,Food,58,Clothes,18,Diapers,6,Education,5,Toys,5,Childcare,3,Vacation,3
Name Your Favorite Filling In A Valentine’s Day Chocolate.,Caramel,31,Cherry,30,Strawberry,13,Chocolate Creme,13,Nut,4,Peanut Butter,3,Vanilla,3
Name Something On A Car That Lets You Know The Owner Takes A Lot Of Pride In Their Ride.,Rims/Wheels,28,Shine,27,Paint Job,23,Bumper Sticker,8,Spoiler,6,Seat Covers,3,Vanity Plate,3
Name A Kind Of Doctor.,Pediatrician,20,Optometrist,18,Dentist,16,Podiatrist,14,Surgeon,13,Ob/Gyn,9,Veterinarian,7
Which Man’s Name Are You Likely To Hear In Mafia Movie?,Tony,65,Don,9,Joey,7,Frank,5,Scarface,4,Al,4,Vinny,3
"Name A Function You Have On Your Telephone, That Your Child Doesn’t Have On Their Tin Can Phone.",Redial,39,Speaker Phone,14,Call Waiting,14,Caller ID,11,Speed Dial,8,Mute,4,Voice Mail,3
Name Something That Wedding Ceremony Should Be Without,Bride,23,Minister,22,Rings,19,Music,12,Flowers,8,Groom,7,Vows,3
Name Something You See A Candidate Doing In TV Campaign Commercials,Talking,35,Making Promises,19,Shaking Hands,18,Smiling,14,Kissing Babies,6,Insulting Opponent,3,Waving,3
Tell Me A Characteristic Of A Man Who’s Described As “Distinguished.”,Has Gray Hair,28,Has Facial Hair,17,Wealthy,13,Handsome,10,Smart,10,Tall,7,Wears A Suit,5
Name Something That People Like To Show Off,Car,26,Wealth,17,House,14,Kids,13,Body,12,New Clothes,8,Weeding Ring/ Jewelry,6
"Finish This Sentence: Since I Got Married, I Have More_____.",Money,29,Romance,24,Kids,20,Stress,11,Bills,5,Fun,4,Weight,4
What Can You Find Out About Person By Reading Their Bumper Stickers?,Religion,37,Politics,15,Sense Of Humor,13,Age,12,If They Have Kids,9,Male/ Female,9,Where They Live,3
Name An Ice Cream Topping That Every Ice Cream Shop Should Have,Chocolate/ Fudge,33,Sprinkles,27,Strawberry,13,Nuts,9,Cherry,8,Caramel,4,Whipped Cream,3
Name Someone Specific You’d Be Nervous About Lying To,Mother,31,Priest,23,God,13,Father,7,Husband,7,Friend,7,Wife,7
Name A Tv Show Past Or Present That Has A Womanâ€™S Name In The Title,Ally Mcbeal,25,Oprah Winfrey,22,Roseanne,19,Rosie O’donnell,9,Murphy Brown,7,I Love Lucy,7,Will & Grace,6
What Was Your Worst Nightmare About?,Death,29,Monster,26,Falling,24,Ghosts,9,Spiders,4,Clowns,4,Witches,3
Tell Me A Sign That It’s Time To Enroll Your Dog In Obedience School,Not Housetrained,26,Bites People,17,Chews,15,Barks A Lot,12,Doesn’t Obey You,11,Runs Away,7,Won’t Come When Called,7
Name Something You’d Probably See At A Construction Site,Men,28,Hard Hats,16,Tractors,13,Big Trucks,12,Bulldozer,9,Hammers,9,Wood,7
Name A Public Place Where You’re Likely To Catch A Cold Or Flu Bug,School,41,Hospital,21,Airplane,10,Doctor’s Office,9,Public Transit,6,Shopping Center,6,Work,5
Name A Subject That Often Comes Up In Family Feud Question,Food,37,Family,32,Dating/ Marriage,9,Movies,6,Animals,5,Sports,5,Work,3
What Kinds Of Tasks Do We Now Handle Online That We Didn’t Use To 10 Years Ago?,Banking,34,Paying Bills,28,Shopping,10,Emailing,7,Doing Taxes,6,Education,4,Working,4
"Aside From Other Movie Stars, Name A Common Profession For Movie Star Spouses.",Model,27,Director,21,Singer,14,Hollywood Manager,10,Athlete,6,Producer,5,Writer,4
Name A Hair Color That Isn’t Natural.,Green,27,Bright Red,20,Blue,17,Purple,13,Orange,8,Pink,8,Yellow,3
"Name A Food That A Parent Might Hide Their Child’s Pill In, To Get Them To Swallow It.",Ice Cream,38,Applesauce,22,Pudding,15,Peanut Butter,9,Jell O,8,Mashed Potatoes,3,Yogurt,3
Name A Cartoon Character Who Would Never Be Chosen To Narrate A Documentary.,Porky Pig,17,Daffy Duck,16,Bugs Bunny,15,Donald Duck,14,Elmer Fudd,12,Tweety,11,Yosemite Sam,10
Which Spooky Halloween Character Would You Hate To Run Into In A Dark Alley?,Jason,35,Dracula,23,Ghost,15,Witch,6,Frankenstein,6,Freddy Krueger,6,Zombie,5
"After A Cop Pulls You Over, What Might You Try To Do To Avoid Getting A Ticket",Cry,28,Flirt,26,Lie,18,Smile,8,Be Nice,8,Beg,6,Apologize,3
What Might A Kid Take Along If He’s Planning To Run Away From Home?,Clothes,36,Food,25,Money,15,Bedding,7,Toys,6,Backpack,5,Bike,3
Name An Event A Child Closes Their Eyes For,Sleep,51,Scary Movie,17,Shots,12,Making A Wish,7,Prayer,5,Roller Coaster,3,Hide And Seek,3
"Besides Throwing Them Away, Name Something You Can Do With Old Newspapers.",Recycle,46,Burn Them,21,Clean Windows,12,Wrap Gifts,8,Pack Dishes,5,Crafts,4,Line Bird Cage,3
Name A Famous Dog?,Lassie,43,Snoopy,17,Benji,9,Scoobie Doo,7,Rin Tin Tin,6,Clifford,5,Pluto,4
"During An Argument, What Might A Teen Do That Makes Their Parents Really Angry?",Yell,27,Swear,20,Slam Doors,18,Talk Back,13,Walk Away,10,Say I Hate You,5,Roll Eyes,5
Name A Food Someone Might Use More Than One Hand To Eat.,Pizza,18,Chicken,17,Hambugers,17,Ribs,13,Corn On The Cob,11,Watermelon,9,Sandwhich,8
