Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,Answer 5,#5,Answer 6,#6
Name Something That Could Ruin A Romantic Dinner.,Passing Gas,21,Fight,19,Bad Food,18,Phone Call,16,Kids,15,Getting Sick,9
What Worldly Topic Would You Be Surprised To Learn That Britney Spears And Jessica Simpson Talk About When They’re Alone,Politics,24,War,22,World Peace,21,Religion,11,Hunger/Poverty,10,Global Warming,9
Name Something Teenagers Did In The 50′s.,Danced,52,Wore Poodle Skirts,16,Hula Hoop,10,Cruise In The Car,7,Went To Drive In,6,Grease Their Hair,2
Name A Sign That Your Girlfriend Might Be Turning Into A Cat.,Purring,39,Growing Whiskers,20,Growing Tail,11,Growing Claws,11,Scratching,7,Growing Fur,5
Name A Good Place To Spend The Day When It’s Raining Outside.,Home,37,Movie Theatre,28,Mall,17,Library,11,Museum,3,Gym,3
Name Something You Do At Least Twice In The Course Of A Long Car Ride With Family.,Sing,27,Fall Asleep,26,Make A Pit Stop,22,Get Food,14,Fight,5,Hear Are We There Yet,3
Name A Way People Try To Stop A Bloody Nose.,Hold Head Back,51,Pinch Nose,31,With A Tissue,6,Cotton In Nose,4,Cold Towel,4,Ice,2
Name Something A Kid Passes Out To All Of His Classmates.,Sweets,45,Valentines,18,Notes,11,Schoolwork,10,Germs,5,Invitations,4
Name A Reason Why It’s Harder To Get Out Of Bed On Some Days Than On Others.,Tired,37,Sick,27,Bad Weather,17,Going To Work/School,12,Stayed Up Late,3,It’s Monday,3
Name A Television Star Who Has Successfully Transitioned Into Feature Films.,George Clooney,21,Will Smith,17,Tom Hanks,16,Robin Williams,14,Jennifer anniston,13,John Travolta,11
"Besides Utensils, Name Something That’s Already On The Restaurant Table When You Sit Down.",Napkins,46,Salt And Pepper,19,Menu,11,Glass,8,Table Cloth,5,Ketchup,4
Name Something You’d See On The Back Of A Car.,License Plate,32,Bumper Stickers,31,Bumper,17,Dirt,5,Tires,4,Lights,3
"When Sitting Close To A Date, What Clue Might They Give That They Like You?",Holds Your Hand,28,Kisses You,25,Smiling,21,Arm around You,12,Move Closer,7,Looking At You,5
Name A Store Or Type Of Store That Sells Expensive Merchandise.,Jewelry Store,44,Macys,27,Neman Marcus,8,Bloomingdales,8,Department Store,3,Lord & Taylor,3
Name Something Rude People Do While You’re Trying To Talk To Them On The Phone.,Talk To Someone Else,27,Eat,21,Interrupt,21,Hang Up,11,Put You On Hold,8,make Noises,6
Tell Me A Creature That You’d Hate To Hear In Your Room At Night.,Rodent,39,Cricket,18,Snake,15,Monster,14,Fly,4,Mosquito,3
For Which Occasion Would You Hate To Forget To Buy A Gift?,Birthday,31,Anniversary,20,Wedding,19,Christmas,17,Valentines Day,5,Mothers Day,3
Name Something Besides Food And Drinks That You Can Buy At Starbucks.,Mugs,45,Reading Material,32,Gift Cards,8,T Shirt,3,Coffee Maker,3,Music,3
Name A Punishment That A Misbehaving Kid Might Get At School.,Detention,51,Stand In Corner,26,Suspension,9,Write Lines,6,Principal’s Office,4,No Recess,3
Name A Reason Why A Child Can’t Wait To Grow Up,Drive,35,Move Out,22,Have A Job,14,No Rules,12,Romance,7,No School,3
Name Something That Kids Can Use In A Pool To Help Them Float.,Raft,32,Inner Tube,19,Beach Ball,14,Life Jacket,14,Water Wings,12,Noodle,7
"Name Something That Grows On Trees, But Isn’t Fruit.",Leaves,49,Nuts,25,Flowers,10,Acorn,8,Money,4,Pine Cones,3
Name Something You Need In Order To Make A Garden.,Seeds,35,Soil,28,Water Cooler,15,Hoe,7,Shovel,5,Plot Of Land,3
Name Something That Makes You Burp.,Pop,75,Cucumbers,14,Broccili,3,Beans,2,Beer,2,Radishes,2
Name Something That A Man Teaches His Grandson To Do.,Fish,56,Drive,18,Play Sports,9,Ride A Bike,5,Hunt,5,Read,3
Name Something Adults Buy That Can Be Very Small Or Very Large.,TV,36,Car/Vehicle,29,House,21,Oven,5,Stereo/Speakers,4,Refrigerator,3
Name A Subject You Count On Your Partner To Give You Advice On.,Money,31,Work,24,Romance,24,Fashion,7,Parenting,5,Relationships,3
"Name Something You Can Get From Your Parents, But You Can Change As An Adult.",Name,49,Hair Color,19,Economic Status,13,Attitude,7,Nose,6,Religion,3
Name An Instrument That You’d Need To Be Really Coordinated To Play.,Piano,39,Drums,29,Guitar,15,Violin,5,Flute,4,Saxophone,3
"Besides “Biographies,” Which Section Of A Bookstore Would A Memoir About Your Life Belong In?",Humor/Comics,31,Romance,19,History,17,Horror,12,Self Help,11,Sci Fi/Fantasy,3
"At The Beach, Name Something That Might Protect You From Sun.",Umbrella,38,Sunscreen,36,Sun Hat,14,Sunglasses,5,Cover Up,3,Shade,3
"What Animal Would You See At A Farm, But Never Consider Keeping For A Pet?",Cow,47,Pig,34,Goat,6,Chicken,5,Horse,3,Sheep,3
Name A Gift That Most Women Like To Get.,Jewlery,48,Flowers,17,Clothing,10,Money,8,Perfume,6,Shoes,4
Name Something That’s Often Brought Into A Pawn Shop.,Jewelry,36,TV,24,Watch,17,Gun,11,Musical Instrument,5,Stereo,4
Name Something Hawaiians Do To Celebrate Winter,Lu’au,30,Dance,28,Surf,14,Party,11,Decorate,8,Swim,3
Name Something The President Might Say Is Too Long.,Speeches,35,Legislative Process,18,Wars,14,Election Process,14,Political Terms,8,The Recession,5
Tell Me A Reason You Exit The Freeway.,Traffic Jam,33,Get Gas,27,Your Destination,17,Accident,9,Restroom,7,To Eat,4
"Name Something You’ll Find On The Breakfast Menu, No Matter What Kind Of Restaurant You’re At.",Eggs,35,Coffee,30,Pancakes,16,Bacon,6,Juice,4,Toast,4
Name Something A Movie Star’s Kid Might Get As A Birthday Present.,Car,36,Pet,23,Money,19,Jewelry,12,House,8,TV/Movie Role,3
Name A Food That It’s Hard To Keep Your Face Clean While Eating.,Ice Cream,26,Ribs,25,Spaghetti,25,Sloppy Joe,10,Pizza,5,Watermelon,4
Name A Famous Movie Monster You Might See In A Black And White Film.,Godzilla,63,King Kong,31,Frankenstein,16,Dracula,7,Mummy,5,Werewolf,4
Name The Most Stressful Holiday.,Christmas,47,Valentine’s Day,15,Thanksgiving,13,New Year’s,12,Halloween,7,4th Of July,5
Name A State People Visit During The Winter.,Florida,34,California,18,Colorado,18,Hawaii,13,New York,6,Alaska,4
Name Something People Guess The Weight Or Volume Of In Order To Win A Prize.,Carnival Goers,27,Pig/Animal,21,Pumpkin/Squash,18,Jar Of Candy,14,Melon,11,Baby,7
"If You Wanted To Impersonate Mary Poppins, What Would You Do?",Flying Umbrella,44,Sing,23,Dance,8,Spoonful Of sugar,7,British Accent,6,Babysit,4
Name An Activity That Could Be Described As “Wholesome.”,Religous Activity,25,Sports,21,Reading,18,Family Meals,14,Board Games,10,Baking/Cooking,9
Name An Animal That Children Are Excited By At The Zoo.,Monkey,27,Lion,25,Tiger,22,Elephant,11,Giraffe,6,Bear,5
Name Something College Roommates Might Argue About.,Cleaning,47,Food,10,Money,10,Space,10,music,7,Bedtime,7
Name A Type Of Service Person Who You Never Know How Much To Tip.,Server,58,Valet service,13,Hairdresser,12,Taxi driver,7,Bartender,5,Bellhop,4
"If You Were Stranded On A Tropical Island, Name Something You Might Have To Eat.",Coconuts,35,Seafood,19,Bananas,14,Pineapples,12,Bugs,7,Berries,6
Who Or What Would You Not Want To Meet In The Middle Of A Hiking Trail?,Bear,51,Snake,24,Criminal,12,Mountain Lion,5,Wolf,3,Big Foot,3
Name A Pet That Makes A Good Holiday Gift,Dog,76,Cat,12,Fish,3,Rabbit,2,Hamster,2,Bird,2
Name A Pubic Place Where You Take Off Your Shoes.,Beach/Park,35,Pool,24,Shoe Store,15,Gym,11,Place Of Worship,6,Bowling alley,4
Name A Sport In Which The Announcers Get As Excited As The Fans.,Football,52,Baseball,13,Hockey,12,Basketball,11,Soccer,8,Boxing,4
Name A Person In Your Life Who It Would Be Unwise To Live With.,Parent,43,Boss,19,Sibling,18,Ex,10,Best Friend,5,Boy/Girlfriend,3
What Is The Worst Thing To Forget On A Camping Trip?,Tent,49,Sleeping Bag,18,Food,11,Water,10,Matches,6,Bug Spray,4
"Instead Of A Horse, Which Animal Is It Hard To Imagine A Cowboy Riding?",Cow,39,Dog,22,Pig,12,Donkey,10,Elephant,7,Camel,4
Name An Animal With Really Long Legs.,Giraffe,59,Ostrich,11,Frog,9,Horse,8,Gazelle,7,Camel,5
"Name Something People Buy, And Then Don’t Know How To Use.",Computer,39,Cell Phone,18,TV,17,Camera,9,DVD Player,6,Car,4
Name Something A Little Girl Needs To Look Like A Princess.,Tiara,63,Dress,17,Magic Wand,5,Makeup,4,Jewelry,3,Charm,2
Name A Board Game That You Wouldn’t Play If You Only Had An Hour.,Monopoly,50,Life,16,Scrabble,11,Risk,9,Chess,5,Checkers,4
"Besides Maple, Name A Flavor Of Syrup.",Blueberry,46,Strawberry,32,Raspberry,4,Boisenberry,4,Grape,3,Cherry,3
Name A Celebrity Who Could Teach A High School Dance Class.,Jennifer Lopez,23,Debbie Allen,16,Janet Jackson,16,Britney Spears,16,John Travolta,12,Christina Agulera,8
Name A Chore People Do Most Often.,Wash Dishes,42,Laundry,16,Vacuum,12,Cook,9,Sweep,7,Clean Bathroom,6
"Name Something People Do When They Want To Look Better. (Makeover Is Not An Answer, Be More Specific)",Change Hair,28,Diet,25,Put On Makeup,20,Plastic Surgery,13,Exercise,5,Clean Up,3
Name Something That You Have To Do Sometimes That Billionaire Has Probably Never Done.,Low End Job,30,Clean/Laundry,26,Borrow Money,17,Fly Economy,8,Buy Used,8,Clip Coupons,6
"If A Husband Found Out That His Wife Had A Bad Day At Work, Name Something He Might Do To Make Her Feel Better.",Cook Dinner,48,Give A Massage,17,Giver Her Flowers,16,Prepare A Bath,8,take Her Out,4,Comfort Her,4
What Might An Actor Do To Cure Stage Fright?,Have A drink,38,rehearse,32,Imagine crowd Naked,12,Deep Breaths,5,Mediate,5,Count To 10,3
"If “American Idol” Had An Animal Competition, Which Animal Would Have The Best Chances?",Dog,30,Bird,24,Monkey,23,Cat,11,Lion,5,Cow,4
Name A Job That Ends With The Word “Guard.”,Lifeguard,34,Security Guard,27,Bodyguard,19,Prison Guard,7,National Guard,5,Crossing Guard,4
Name A Food You May Find In Someone’s Home Garden.,Tomatoes,34,Carrots,33,Lettuce,14,Corn,8,Potatoes,4,Cucumber,4
Name Something People Keep Near Their Favorite Easy Chair.,Remote Control,47,Magazines,18,Telephone,11,Newspaper,10,Books,9,Drink,5
Name something a parent criticizes their child for doing too fast,Eating,59,Homework,19,Cleaning/Chores,5,Growing Up,4,Talking,4,Driving,3
Name Something A Gardener Might Use On The Job.,Lawn Mower,42,Hoe,26,Shovel,8,Hose,7,Rake,6,Edger,4
Name Something That People Have A Desire To Smash.,Pumpkin,33,Glass,28,Bugs,13,Cans,10,Potatoes,5,Eggs,4
Name Something You Might Cut Out Of Your Morning Routine If You Were In A Big Hurry,Breakfast,42,Makeup,14,Shower,14,Doing Dishes,11,Coffee,6,Exercise,5
"When Drawing A Person, Which Specific Part Is The Hardest To Draw Believably?",Nose,37,Eyes,23,Hands,18,Hair,8,Mouth,5,Feet,5
"If You Played Superman In A Movie, Name Something Specific You’d Have To Wear.",Cape,48,Tights,29,Make Up,4,Speedo,4,Fake Muscles,4,Glasses,3
"If You Went Out With Santa Claus, What Might You Do On Your First Date?",Sleigh Ride,36,Make Toys,26,Eat Cookies,19,Deliver Presents,7,Sit On His Lap,5,Go To North Pole,4
Name Something You Might Buy For A Golfer.,Golf Clubs,58,Golf Balls,21,Hat,5,Golf Bag,4,Golf Cart,3,Golf Shirt,3
"If Or Out Of The Dentist’s Chair, Name Something The Dentist Warns Not To Do.",Consume Sweets,49,Smoke,23,Wiggle,9,Swallow,8,Bite Down,5,Grind Teeth,3
"Unlike Dogs, Name A Type Of Pet That People Don’t Count On To Guard Their House.",Cat,54,Bird,27,Fish,7,Lizard,4,Rat/Mouse,3,Hamster,3
Name A Food That You Become Very Thirsty While Eating.,Chips,28,Popcorn,25,Peanuts,12,Pizza,10,Crackers,5,Ice Cream,3
"Instead Of Get A Job, Name Something A Person Might Do After College.",Travel,35,Get Married,33,Go Back To School,12,Move Back Home,8,Party,5,Join The Military,3
Name Something An Amusement Park Has A Lot Of.,Rides,43,People,24,Games/Prizes,15,Junk Food,8,Rest Rooms,4,Lines,3
Name A Legendary Creature That Would Be A Huge Hit If Featured At The Zoo.,Big Foot,34,King Kong,17,Godzilla,14,dragon,14,Unicorn,11,Loch Ness Monster,8
"Name Something Some People Do By Hand, While Others Use A Machine.",Sew,44,Wash Clothes,19,Wash Dishes,10,Write,10,Saw,5,Math,4
Name Something That Begins With The Word “Dirty.”,Laundry,27,Dancing,21,Mouth/Language,17,Harry,12,Job,8,mind,6
Name Something A Small Town May Lack.,Stores,45,People,19,Entertainment,13,Crime,7,Traffic,7,Money,6
Name The Month When TV Networks Start Airing Reruns.,June,44,May,27,july,9,April,6,October,4,November,4
Finish The Sentence: Hold Your _____.,Breath,40,Horses,30,Tongue,9,Hand,8,Nose,3,Own,3
Name Something You Wear That Might Be Plaid,Skirt,35,Shirt,31,Pants,8,Shorts,8,Jacket,6,Pajamas,6
Name Something Every UPS Driver Should Have,Truck,19,Uniform,18,Clip Board,18,Drivers License,16,Packages,11,Pen,11
"Name Something Contagious That Kids Sometimes Catch, But Adults Seldom Do.",Chicken Pox,38,Cold,32,Measles,13,Lice,7,Mumps,5,Pink Eye,3
Name Something You Did As A 5-Year-Old That You’d Be Embarrassed To Do Now.,Urinate On Self,27,Urinate In Bed,25,Pick Nose In Public,24,Cry,7,Nothing,4,Play In Dirt,4
Name Someone Who Wears White Gloves.,Doctor,40,Mickey Mouse,16,Nurse,14,Dentist,9,Band Instructor,7,Police Officer,6
Name A Phrase That Starts With The Word “Prime.”,Prime Time,54,Prime Rib,22,Prime Interest Rate,5,Prime Minister,5,prime Number,3,Prime Example,3
Name Biggest Event In A Teenager’s Life,Driver’s License,28,Graduation,23,16th Birthday,14,First Kiss,13,First Car,12,Prom,10
Name A Modern Device That Older People Have Trouble Using,Computer,46,Video Player,21,Hearing Aid,11,Microwave,8,Telephone,5,Remote Control,2
Name Someone Who Has To Wash Their Hands Frequently.,Doctor,57,Cook,13,Nurse,8,Dentist,5,Mechanic,5,Restaurant Worker,5
Name Something Your Dog Might Do That Would Make You Think He Was Part Cat.,Meow,43,Catch Mice,16,Climb Tree,10,Eat Cat Food,8,Purr,8,Scratching,8
Which Activity Would A Celeb Least Like To Be Photographed Doing?,Eating,34,Showing Affection,25,Picking Nose,11,Wearing Swimsuit,9,Drinking,9,Sleeping,8
Name Something A Mother-To-Be Might Ask Her Friends’ Advice On Before The Baby Is Born.,Names,31,Feeding,26,Labor Pain,15,Potty Training,10,Must Have Items,9,Sleeping Schedule,7
Name A Reason A Kid Might Get Sent Home From School.,Got In A Fight,35,Being Sick,21,Talk Back To Teacher,16,Bring A Weapon,9,Swearing,7,Smoking,4
Name Something You Might Do To Make Yourself Feel Cozy After Playing In The Snow All Day.,Hot Chocolate,49,Hot Bath,15,Sit By Fire,13,Change Clothes,9,Blanket,8,Soup,3
Name Something You Would Wan’t To Run Over With Your Lawnmower.,Rocks,25,Animals,19,Poop,17,Hose,14,Toys,9,Sprinkler,7
Name Something Models And Wrestlers Both Do.,Pose,35,Work Out,30,Act,13,Dress Up,8,Fight,7,Strut,4
Name An Animal That’s Often Described As “Beautiful.”,Cat,30,Deer,20,Horse,19,Bird,13,lion,9,swan,3
What Item Do People Always Keep Inside Their Cars?,Flashlight,30,Map,18,Umbrella,14,Registration,13,Sunglasses,11,Tissues,8
Name A Complaint A Customer Might Have About A Bar They’re At.,Too Much Smoke,27,Noise,23,Bad Service,18,Watery Drinks,8,Expensive Drinks,7,Too Rowdy,6
"Other Than Swimsuits, Name Something People Wear To The Beach.",Shorts,37,Flip Flops,18,Sunglasses,14,Sunblock,10,Hat,9,Towel,6
"We Asked 100 Wives: If Your Husband Were The Incredible Hulk, Tell Me What Would Turn Him Into A Monster.",Money/Bills,36,Chores/Nagging,22,Jealousy,15,No/Bad Food,13,Naughty Kids,6,Traffic,4
Name Something People Remove From Their Lawn.,Weeds,56,Dog Poop,12,Grass,10,Leaves,8,Bugs,4,Trash,3
Name something you associate with Mickey Mouse,Big Ears,33,Disneyland,24,Minnie Mouse,21,Cartoons,8,Donald Duck,6,Walt Disney,5
Name A Company That Uses An Animal In Its Logo.,MGM Lion,20,Exxon Tiger,17,Budweiser Eagle,15,Energizer Bunny,13,RCA dog,11,Walt Disney Mouse,11
Name The Heaviest Item You Buy At The Supermarket.,Watermelon,24,Milk,17,Potatoes,15,Turkey,14,Pet Food,13,Water,10
"What Should A Spy Avoid Wearing, If He Doesn’t Want To Be Identified By His Profession?",Sunglasses,39,Hat,19,Trench Coat,18,Wig,9,Badge,5,Weapon,4
"If You Were Filling In For Santa, Name Something You’d Have To Learn How To Do.",Say Ho Ho Ho,42,Drive A Sleigh,21,Climb Down Chimney,11,made A List,8,Work With Reindeer,7,Wear His Suit,4
Name A Famous Cartoon Animal That You Wouldn’t Want In Your House If It Was Real.,Tasmanian Devil,33,Mickey Mouse,23,Bugs Bunny,21,Pepe Le Pew,7,Road Runner,6,Wile E Coyote,4
Name A Place That You Need An ID To Enter.,Bar,29,Airplane,19,Casino,18,Military Base,12,School,10,Work,8
Name an animal whose head you might see on the wall of a hunter’s den,Deer,70,Moose,10,Bear,6,Bull,4,Raccoon,2,Antelope,2
Name something tourists see while visiting Italy.,Leaning Tower of Pisa,41,Sistine Chapel,15,Museums,14,Rome,12,Gondolas,10,Architecture,8
Name something you might do if you heard a burglar in your house.,Call 911,47,Get a Gun,24,Get a baseball bat,9,Scream,8,Run and hide,3,Ask who is there?,2
Name a place in your house that you don’t bother decorating.,Bathroom,31,Closet,25,Basement,19,Garage,12,Laundry room,5,Attic,4
Name a kind of boat that doesn’t have an engine.,Sailboat,32,Canoe,30,Rowboat,18,Paddleboat,10,Raft,3,Barge,2
Name something women do to their hair.,Dye it,31,Curl it,27,Wash it,13,Cut it,10,Brush it,9,Braid it,4
Name a U.S. city that begins with the letter “B”.,Boston,48,Baltimore,31,Birmingham,7,Boise,3,Brooklyn,3,Buffalo,2
Name a specific food that doctors tell patients to cut down on.,Red Meat,37,Fried Food,25,Sweets,18,Pizza,8,Eggs,5,Butter,4
Tell me a piece of information that your neighbors are more likely to know about you than your coworkers are.,Address,33,Size of family,22,How noisy,15,Pets,12,Evening activities,11,Car you drive,5
Name something you associate with Elmer Fudd.,Bugs Bunny,51,Gun,17,Stuttering,11,Hunting,8,Bald,4,Cartoon,3
Name something associated with Jiminy Cricket.,Pinocchio,41,Singing,14,Insect,13,Top hat,9,Walt Disney,9,Cartoons,6
Name a New Year’s TV host.,Dick Clark,76,Regis Philbin,6,Carson Daly,5,Ryan Seacrest,4,Jay Leno,4,Casey Kasem,3
"Other than your family members,from whom would you accept criticism?",Friends,40,Boss,28,Teacher,17,Doctor,4,Partner,4,Clergy,3
"In a Secret Santa exchange,what “gifts” might you get from an office thief?",Stapler,61,Pens,22,Money,6,Paper,3,Paper Clips,3,Computer,3
Name a place where it would be rude to laugh.,Funeral,48,Church,17,Library,16,Serious movie,5,Hospital,5,Court,4
Name a characteristic of a pub that you wouldn’t want for your home.,Drunk people,35,Smoke,30,Loud,16,Dark,7,Fights,6,Crowded,3
What do you do when having a bad hair day?,Wear a hat,54,Tie it back,15,Cry,11,Get it wet,7,Stay home,6,Cut it,3
Name someone who has/had many followers.,Jesus,59,Gandhi,15,President Bush,7,"Martin Luther King, Jr.",5,Moses,4,Dalai Lama,3
Name something you do when looking in the mirror that you’d hate to be caught doing if it was a 2-way mirror.,Pick nose,31,Undress,23,Pick teeth,20,Pose,11,Skin care,10,Dance,3
Name something your wife asks you to do that your Mom also asks you to do.,Clean up mess,34,Take out trash,22,Dishes,14,Laundry,12,Make bed,6,Eat better,5
Name an animal that you wouldn’t want to escape from the zoo.,Lion,63,Tiger,19,Bear,6,Gorilla,4,Giraffe,3,Elephant,3
Name a profession that would be most difficult to perform while 8 months pregnant.,Dancer,30,Police Officer,24,Doctor/Nurse,23,Waitress,10,Athlete,7,Fitness instructor,4
Name something many people learned to do from their Dad.,Drive,33,Fish/Hunt,21,Shave,19,Ride bike,16,Curse,3,Fix things,3
Name a piece of protective gear that only a real klutz would consider wearing while walking.,Helmet,43,Knee pads,18,Protective cup,13,Elbow pads,10,Goggles,10,Gloves,4
Name a fruit that people drink juice from in the morning.,Orange,47,Apple,26,Lemon,9,Cranberry,5,Tomato,3,Grapefruit,3
Name something a girl would need if she wanted to impersonate an elderly woman.,Grey wig,46,Cane,18,Glasses,13,Old dress,9,Shawl/Scarf,8,Handbag,4
Name a prop you may hold in an “Olde Time” photograph at the fair.,Gun,46,Parasol,17,Pitchfork,12,Cane,8,Fan,7,Hat,4
"Besides clothes,name something the 50 Foot Woman might have trouble finding in her size.",Shoes,54,Car,12,A 50 foot man,11,Bed,8,Sunglasses,5,House,4
"If your body aches,tell me what a possible cause might be.",Sick,40,Exercise/Lifting,31,Tired/slept wrong,11,Arthritis/old age,6,Stress,5,Injury,4
Name something that starts with the word “Instant”.,Instant Coffee,41,Instant Oatmeal,24,Instant Rice,13,Instant Pudding,11,Instant Potatoes,6,Instant Photo,5
Name something you see in every Star Wars movie.,Darth Vader,27,Lightsaber,17,Spaceships,17,R2 D2,15,C 3PO,11,Jedi,5
Name a specific place where you hated to run into a school bully.,Bathroom,34,Playground,22,Hallway,17,Alley,11,Cafeteria,6,Locker room,5
Name a dangerous hobby you wouldn’t want your partner to have.,Skydiving,48,Hunting,16,Flying,14,Rock climbing,14,Car racing,3,Motorcycling,3
Name a dangerous hobby you wouldn’t want your partner to have.,Skydiving,48,Hunting,16,Flying,14,Rock climbing,14,Car racing,3,Motorcycling,3
Name something you’d put on your table when having a dinner party.,Candles,28,Centerpiece/Flowers,23,Tablecloth,16,Food,12,Dishes,10,Napkins,5
How can you tell that a dog is still a puppy?,Small,29,Energetic,24,Chews,18,Big paws,11,Puppy’s bark,9,Not house trained,6
Name something that many women wish their husbands could talk about.,Romance,40,His feelings,36,Clothes,9,The marriage,5,Finances,4,Parenting,4
Name a type of business that does best during the summer.,Ice cream parlor,39,Bathing suit store,21,Amusement Parks,13,Swimming Pool,7,Air conditioning,5,Parks and recreation,5
Name something that gets thrown.,Ball,44,Frisbee,26,Game/Contest,8,Darts,7,Tantrum,6,Party,6
Name something you’d need if you were going to be a private eye.,Binoculars,23,Camera,18,Gun,16,Car,13,Clients,11,Pen and paper,11
Name a job you’d have a hard time doing if you couldn’t type well.,Secretary,55,Data Entry,14,Accountant,10,Writer,8,Court Reporter,6,Programmer,4
Name a common potato chip flavor.,Barbecue,45,Sour Cream/Onion,14,Salt and Vinegar,12,Plain,11,Cheddar,11,Ranch,6
Tell me something many wives encourage their husbands to do as they get older.,Exercise,41,Lose weight,24,Eat healthier,9,Go to the doctor,7,Dye hair,6,Retire,5
Name an animal that weighs a lot.,Elephant,53,Whale,15,Bear,14,Hippopotamous,7,Lion,6,Rhinoceros,5
"If someone hates to cook,name a dinner that they probably eat often.",Pizza,28,Noodles,26,TV dinner,14,Fast food,12,Soup,8,Sandwich,6
Name something that even adults hate to share.,Money,39,Food,34,Bed,15,Bathroom,4,Clothes,4,Secrets,3
What might a wash machine do that would make you get rid of it?,Stop working,34,Leak,28,Ruin clothes,11,Make noise,9,Overflow,8,Shake,3
Name something you do at an office holiday party.,Drink,44,Eat,21,Talk,11,Exchange gifts,10,Dance,7,Sing,2
Name someone in your life who you hope never writes a tell-all book.,Parent,43,Significant other,18,Ex,17,Best Friend,10,Sibling,8,Son/Daughter,3
Name something people brag about.,Kids,30,Income,22,Their job,14,Bodies,12,Their cars,9,Sports ability,7
Name something that a woman might wear in bright colors.,Shirt,35,Dress,26,Shoes,13,Hat,10,Lipstick,6,Swimsuit,6
"Other than actor,name an occupation you’d fail at if you had stage fright.",Singer,53,Comedian,16,Motivational Speaker,8,Politician,7,Dancer,5,Teacher,4
Name someone Dorothy met in the Land of Oz.,The Cowardly Lion,25,The Tin man,24,The Scarecrow,21,Munchkins,10,The Wizard,8,The Wicked Witch,5
Name something that might be hard to do while pregnant.,Run,29,Bend Over,22,Tie shoes,15,Sleep,13,Exercise,9,Walk,9
Name something about her infant son that a new mother talks about often.,Sleep schedule,37,Crying,18,How cute,14,Feeding,13,Changing diapers,11,Weight,3
Tell Me The Age When A Girl Should Be Allowed To Start Dating. (Numaric Only),16,55,17,15,18,14,14,6,15,5,13,5
Tell Me The Age That A Girl Stops Telling Her Parents Everything (Numeric Only).,13,30,16,23,12,18,15,11,14,10,18,5
Tell Me How Many Days It Takes A Man To Grow A Beard. (Numeric Only),7 Days,23,5 Days,18,10 Days,16,14 Days,14,3 Days,12,4 Days,9
Name A Phrase That Starts With “Life Is…”.,Good,28,Too Short,26,Box Of Chocolates,21,Beautiful,9,A Bowl Of Cherries,8,A Beach,5
Name Something You Hope That The People You’re Housesitting For Have In Their Home.,Food/Drinks,42,Cable TV,27,Hot Tub/Pool,11,Alarm,7,Internet Access,6,Air Conditioning,3
What Might You See Out Your Airplane Window?,Sky/Clouds,46,Birds,20,Body Of Water,9,Land,8,Wings,8,Another Plane,3
What Might You Find Out About A House That Would Make You Back Out Of Buying It?,Haunted,38,Termites,28,Mold,18,Price Went Up,6,Leaky Roof,5,Bad Foundation,3
Name Something Associated With Fabio.,Romance Novels,30,Long Hair,26,Commercials,20,Handsome,9,Model,5,Bare Chest,4
Name Something That Kids Play In But An Adult Would Not.,Mud/Dirt,43,Sandbox,21,Kiddie Pool,13,Ball pit,8,Tree/Playhouse,5,Bath Tub,3
Name A Specific Item In Your House That’s Too Big To Throw Away In The Trash Can,Television,29,Couch,17,Refrigerator,15,Microwave,14,Table,8,Bed,8
"According To Commercials, What Product Should A Man Buy In Order To Have Women Flock To Him?",Cologne/Aftershave,42,Car,22,Deodorant,17,Shampoo,7,Hair Growth Cream,4,Beer,4
Name A Comic Strip You See In Almost Every Newspaper.,Peanuts,40,Doonsbury,13,Garfield,13,Blondie,12,Boondocks,9,Beetle Bailey,7
Name Something People Do To Cure An Aching Back.,Pain Reliever,26,Lay Down,22,Massage,16,Heating Pad,14,Chiropractor,10,Bengay,6
Name An Animal That Could Probably Beat Carl Lewis In A Race,Cheetah,41,Jaguar,24,Tiger,13,Cougar,5,Horse,5,Bird,4
Tell Me Something You Watch For Out Of Your Plane Window,Clouds,41,Lightning,39,Bodies Of Water,6,Other Planes,5,Houses,4,Birds,3
Name Something In Your Kitchen That You’d Use As A Musical Instrument.,Pots And Pans,44,Spoons,25,Glasses,11,Wire Whisk,6,Broom,4,Blender,3
"Name A Beverage Served At Fancy Restaurants. (Alcohol Is Not An Answer, Be More Specific)",Wine,31,Martini,21,Champagne,15,Tea,15,Margaritas,6,Bloody Mary,6
What Might An Overboard Soccer Mom Do At A Game That Causes Her To Be Thrown Out?,Scream,45,Get Into Fight,21,Argue With ref,17,Swear,7,Insult Players,3,Bother Coach,3
Name A Child Star Who’s Still Famous Today.,Drew Berrymore,27,Michael Jackson,20,Olsen Twins,16,Jodie Foster,13,Ron Howard,10,Brooke Shields,8
Name A Part Of Grooming That You’d Spend More Time On Before A Big Date.,Fixing Hair,39,Applying Makeup,21,Shaving,18,Dressing,7,Showering,6,Brushing Teeth,6
Name Someplace People Go To Help Them Think.,Library,39,Place Of Worship,16,Parking,14,Bedroom,12,Bathroom,11,By The Ocean,6
Name something a ballet dancer has that most people do not.,Tutu,29,Ballet shoes,25,Balance/Poise,17,Strong legs,14,Talent,7,Callused Feet,5
