Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4
Name An Animal That A Pirate Would Most Likely Have On His Ship.,Parrot,55,Minkey,31,Dog,10,Snake,3
Name Something You Can Build With Snow,Snowman,68,Igloo,15,Snow Fort,8,Snowball,4
Name Something Husbands Will Admit That They Borrow From Their Wives,Money,67,Car,18,Razor,9,Socks,4
"Unlike Coffee, Name A Beverage That You Could Never Make Money Off Selling By The Cup.",Water,46,Milk,34,Lemonade,7,Soda,6
Name A Word That Polite People Use Often.,Please,54,Thanks,31,Pardon/Excure Me,11,Sorry,3
Name Something About Love That Some People Believe In and Others Don’t,Love At First Sight,33,Endless,27,Fate,25,Soul Mates,9
Name Something People In The 1950’s Thought We Would Have By The Year 2000,Flying Cars,61,Time Travel,14,Robots,13,Spaceships,8
Name A Type Of Photo That Most People Donâ€™T Smile In,Passport,31,Mug Shot,30,Driver’s License,23,Sports Photo,5
Which Food That Gets Stuck In You Teeth Should Be Avoided On A Date?,Corn,33,Spinach,23,Popcorn,19,Steak,11
Name Something You Would Need To Eat A Steak.,Knife,71,Fork,16,Teeth,6,Steak Sauce,5
Name Something You’d Find In A Punk Rocker’s Bedroom,Guitar,46,Posters,41,Hair Gel,5,Stereo,4
Name A Trait That’s Essential For A High School Teacher To Have,Patience,46,Intelligence,35,Friendly Personality,10,Strictness,7
"If A Person Doesn’t Cook Well, Which Thanksgiving Food Might They Buy Instead Of Bake?",Turkey,54,Pumpkin Pie,32,Cake,8,Stuffing,5
"Name A Reason, Other Than Hard Work, That Your Boss Would Give You A Raise",Dating The Boss,24,On Time/ Attendance,16,Blackmail,12,Sucking Up,5
"Name Something Your Teen Likes To Wear, But You Hope He’ll Leave Home On Picture Day.",Baseball Cap,71,Piercing,12,Makeup,7,Sunglasses,7
"Name Something Humans Wear, But Cats Look Silly In",Hats,44,Shoes,31,Glasses,12,Sweater,10
"Name An Article Of Clothing Your Husband Often Receives At The Holidays, But Rarely Wants",Tie,42,Socks,32,Underwear,15,Sweater,6
"Other Than Letter And Punctuation Keys, Which Computer Key Would You Not Want To type A Report Without?",Enter,38,Space Bar,26,Backspace,16,Tab Key,15
Name Something A Doctor Might Ask A Patient To Do During A Checkup.,Undress,38,Cough,24,Open Wide,20,Take A Big Breath,14
We Asked 100 Men: Name Something Your Partner Will Never Do As Well as Mom.,Cook,54,Clean,25,Laundry,4,Take Care Of Me,3
Name Something A Child Does To Prove They’re Too Sick For School.,Cough,50,Vomit,25,Cry,13,Take Temperature,10
Name Something In Your Daily Routine You Could Still Do Even If You’re Wearing a Strait Jacket.,Eat,30,Sleeping,28,Watch TV,23,Talk,13
What Might Your Co-Worker Do To Let You Know She Is Very Excited About Christmas?,Decorate,44,Sing Carols,37,Dress Up,9,Talk About It,8
"If You Sent A Postcard From China, What Would Be Pictured On The Front?",Great Wall,54,Panda,19,Dragon,13,Temple,4
"Name Something You Say At The End Of A Date, Even If You Don’t Mean It.",I Love You,44,I Had A Good Time,28,I’ll Call You,16,Thank You,7
What Sticks In Your Head Most From An Irritating But Memorable Commercial.,Song,42,Character/ Voice,28,Slogan,19,The Product,8
Name A Reason Somebody Would Wear A Hat All The Time,Balding,63,Bad Hair Day,19,Protect From The Sun,9,They’re Cold,4
Name A Reason People Might Put Lawnchairs On The Sidewalk,Parade,65,Sunbathing,11,Yard Sale,7,Throwing Them Out,4
"Before You See Any Fighting, How Do You Know You’re Watching A Kung Fu Movie?",Actors,48,Subtitles,29,Music,15,Title,4
Name Somewhere That Parents Can’t Wait For Their Kids To Go,To School,58,To Bed,22,To A Friend’s House,8,To Summer Camp,3
Tell Me Something That Waddles,Duck,68,Penguin,16,Pregnant Woman,4,Toddler,4
Name A Reason Why A Workplace Might Not Have Their Annual Christmas Party.,Budget Cuts,51,Bad Weather,34,Going Under,8,Too Busy,4
Name An Annoying Thing About Pigeons,Droppings,61,Unsanitary,17,Noisy,9,Too Many Of Them,5
Name A Reason Why Someone Might Hold Off On Getting Married.,Afraid of Commitment,44,Not Ready,30,Saving Money,16,Too Young,7
Name A Character Famous For Selling Cereal.,Tony The Tiger,53,Cap’n Crunch,24,Trix Rabbit,13,Toucan Sam,9
Name Something That Couples Often Get More Than One Of As Wedding Presents.,Toaster,65,Blender,16,Dishes,11,Towels,6
Name Something You Hope That You’re Still Doing When You’re 80,Walking/ Running,37,Active Love Life,27,Driving,19,Traveling,9
Name Something You Bring To A Tailgate Party,Beer,40,Food,37,Grill,9,Truck,9
"Name Something Kids Often Ask For Before Bed, That Their Parents Refuse",Drink,31,Snack,29,Another Story,24,TV/ Movies,4
Name An Article Of Clothing That Many Men Think Women Look Attractive In,Dress,33,Mini Skirt,21,Swimsuit,16,Underclothes,12
Name A State People Visit On A Ski Vacation,Colorado,54,Vermont,24,Alaska,10,Utah,8
Name Something People Mark On Their Calendars.,Birthdays,69,Appointments,15,Anniversary,7,Vacation,3
Name A Holiday That’s Associated With Candy.,Halloween,45,Easter,24,Christmas,13,Valentine’s Day,6
Name Something In Your House That Can Be Set.,Alarm/Clock,55,Table,23,TV/Tivo,12,VCR/DVD Player,5
How Can You Tell Immediately That An E-Mail Is Spam?,Unknown Sender,35,No Subject,23,Goes To Junk,18,Virus Alert,14
Name Something You Dread Doing After A Snowfall,Shoveling,42,Driving,37,Leaving The House,9,Walking,6
Name A Job That Many Celebrities Had Before They Were Famous.,Food Server,63,Model,18,Cook,10,Washing Cars,3
Name A Common Household Item That Was A Luxury To Have 50 Years Ago,Tv,48,Dishwasher,32,Phone,9,Washing Machine,8
Name A Job In Which You’d Be Exposed To A Lot Of Germs,Doctor,47,Nurse,26,Teacher,10,Waste Collector,5
Name Something Many Teens Want To Do Before Their Parents Think They Are Ready.,Drive,58,Date,27,Move Out,7,Wear Makeup,7
Name A Reason A Couple May Keep A Close Watch On A Calender.,Anniversary,37,Baby Due,24,Trying For A Baby,21,Wedding day,8
name A Sport Or Athletic League Whose Large Athletes You’d Hate To Ride A See-Saw With.,Sumo Wrestling,42,Football,30,WWF Wrestling,22,Weight Lifting,4
Name A Reason Your Cell Phone Might Stop Working.,Dead Battery,60,Out Of range,26,Didn’t Pay Bill,7,Wet,7
What In A Crime Scene Would An Investigator Check For Fingerprints?,Weapon,42,Door Knob,22,Body,18,Window,16
Name A Drink That Many People Love Despite Its Bitter Taste,Beer,51,Coffee,20,Lemonade,16,Wine,10
Name Something You Do To Let A Friend Know She Has Food On Her Face,Tell Her,48,Point At It,31,Giggle/ Tease Her,13,Wipe Your Own Face,6
Name Something That Only A Person Who Really Loves Christmas Would Do As Early As October.,Decorate,59,Shop For Gifts,22,Put Up Tree,10,Wrap Gifts,7
Name A Sports Whose Athletes You’d Least Like To Get In A Fight With,Boxing,39,Football,36,Hockey,14,Wrestling,8
"Name Something You Find More Of At A Sporting Event, Than At A Movie Theater",Beer,50,Fans,31,Hot Dogs,10,Yelling,6
"If A Con Man Approached You, What Do You Think He’d Immediately Want To Know?",Your Name,53,Your Income,20,Your Age,18,Your Address,7
Name Something You Bring To A Party Even If The Host Doesn’t Ask You To Bring Anything,Alcohol,63,Flowers,14,Chips,13,Yourself,7
Name Something That Gets Sewn Onto Clothes,Buttons,60,Patches,30,Name,5,Zipper,3
Name A Job In Which You Could Wear Shorts To Work.,Lifeguard,49,Mail Carrier,25,Gym Teacher,12,Zookeeper,10
Name Something That Many People Are Afraid To Drive On.,Icy Roads,47,Snow,31,Bridge,13,Freeway,8
What Are Some Actions People Might Take To Be More Earth Friendly?,Recycling,43,Buy Hybrid Car,20,Use Less Paper,14,Plant Trees,12
Name A Meal That Sometimes Comes With A Bib Even For Adults.,Ribs,34,Wings,32,Seafood,22,Steak,6
Name A Halloween Costume That Young Girls Often Wear.,Princess,59,Witch,23,Fairy,12,Angel,3
Tell Me An Invention That Probably Led To People Having Much Less Spare Time.,TV,44,Computer,23,Telephone,12,Car,10
When Hosting A Dinner Party What Might You Ask A Friend To Bring.,Alcohol,61,Dessert,13,Salad,12,Chips,8
"Name Something That The Bride And Groom Do At A Wedding, That Another Guest Should Not.",Kiss During Toasts,49,Cut The Cake,18,Say Vows,13,Dance To First Song,8
"If An Auctioneer Had A Baby, What Might Be Her First Words?",Sold,43,Going Once … Gone,28,Bid,10,Do I Hear,5
Name A Kids Movie that Makes Adults Cry To.,Bambi,42,Old Yeller,38,Lion King,15,Dumbo,4
Name A Coffee Drink That’s Easy To Mispronounce.,Latte,66,Mocha,16,Cappuccino,9,Espresso,8
Name Something It Might Be Ok to Lie To A Partner About In Order To Spare Their Feelings.,How They Look,56,Being Faithful,21,Satisfaction In Bed,11,Ex,7
"Despite Its Beauty, Name A Reason Why You Wouldn’t Want To Live In Hawaii.",Too Hot,47,Expensive,24,Volcano,18,Far Away,10
Name Something That Gets Into Your House If You Leave Food Out.,Ants,50,Rodents,27,Roaches,12,Flies,10
Name Something That’s Essential To Creating A Romantic Atmosphere At Home.,Candles,51,Music,22,Good Lighting,8,Flowers,5
Name Something You Would Not Want To Drop Your Wedding Ring Into.,Sink,47,Toilet,40,Water,6,Food,5
Name A Word Or Phrase That Ends In -Phobia.,Arachnophobia,37,Agoraphobia,23,Claustrophobia,12,Germophobia,12
Name Something A Man Might Ask His Dad’s Advice On.,Relationships,60,Finances,26,Car,6,Job,5
Name An Animal That Might Live In A Tree,Monkey,38,Bird,29,Sqirrel,22,Koala,9
"Name Something You Put On Your Face, That You’d Never Dream Of Putting On Your Feet.",Makeup,52,Lotion,29,Cold Cream,11,Mask,5
Name Something That causes Yo To Become Friends With Someone You Otherwise wouldn’t Have,Money,51,School/Work,37,Both Have Kids,6,Mutual Friiends,5
"Although It Was Nice To Be A Kid, Name A Part Of Childhood You’d Never Want To Go Through Again.",School,42,Puberty,24,Acne,17,Potty Training,15
"If Stuck With No Diapers, What Might A Desperate Parent Use Instead?",Towel,48,Shirt,14,Napkins,13,Rag,12
What Might You Be Afraid Of While Sleeping In A Tent?,Bears,43,Bugs,35,Snakes,14,Rain,3
Name Something That’s Hard To Build But Easy To Tear Down.,House of Cards,41,Building,33,Sandle Castle,14,Trust,11
Name A Time When A Man Might Be Extra Caring Toward His Wife,Their Anniversary,32,When She’s Pregnant,28,On Her Birthday,21,When She’s Sick,17
Name Something A Woman Might Suggest Her Husband Do To Improve His Appearance.,Shave,46,Work Out,33,New Hairstyle,14,Dress Up,4
Which Sounds Do Children Listen For On Christmas Eve?,Sleigh Bells,52,Ho Ho Ho,26,Reindeer On Roof,15,Footsteps,4
Name A Reason Why A Child You Don’t Know Might Come To Your Door.,Selling Cookies,33,Lost,29,Trick Or Treat,17,Newspaper,8
Name A Household Activity That People Wear Gloves While Doing.,Dishes,55,Gardening,26,Scrubbing Toilet,16,Painting,3
Name An Occupation That You Hope Is Great At Their Job 100% Of The Time.,Doctor,61,Pilot,21,Lawyer,7,Police Officer,7
Name Something You Never Quite Believed About The Brady Bunch.,Always Happy,53,Never Fight,24,Shared One Bathroom,11,So Many Kids,11
Name Something The Police Might Look For When They Search A Suspect’s House.,Drugs,65,Evidence,17,Weapon,13,Suspect,3
Name An Occupation that a boy Wouldn’t Want His Girlfriend’s Father To Have,Police Officer,65,Lawyer,19,Judge,6,Clergy,4
We Asked 100 Women: Name Something You Would Not Like To Have a Man Do For You On a Date.,Order Food,36,Open Car Door,31,Pay For Everything,20,Feed Me,5
Name Something You Clean that Only Gets Dirty Again in A Day,Dishes,28,Clothes,27,Bathroom,17,Floors,17
"Other Than “Love”, Name A Word That’s in Almost Every Love Song",Heart,34,Baby,29,Kiss,22,Forever,5
Name Something You Eat That Comes With Sauce,Spaghetti,41,Pizza,26,Chicken Nuggets,14,Fries,6
name Something You Put in Your Mouth But don’t Swallow,Gum,51,Toothpaste,17,Mouothwash,16,Hard Candy/Sucker,12
name A Talent You Rarely See Women Do Outside A Beauty Pageant,Sing,54,Tap Dance,27,Baton Twirling,13,Juggle,5
Name A Hollywood Man Who would Have No Trouble Getting dates If He Were Single.,Brad Pitt,62,George Clooney,11,Tom Cruise,10,Mel Gibson,4
Name Something A Home Might Have To Make It energy Efficient,Solar Panels,40,Good Insulation,21,Efficient Bilbs,19,New Windows,18
What Is The Most Common Thing People Get stuck In Their Hair,Gum,55,Comb/Brush,28,Food,5,pencil,4
Name A reason You Wouldn’t recognize Someone At Your High School Reunion,Weight Gain/Loss,51,Bald,19,Older,19,Plastic Surgery,8
Name An Occupation That You’d be In Trouble If You Disrespected,Police officer,27,Teacher,22,Judge,22,Politician,8
Name something Kids Dissect In Science Class,Frog,67,worm,17,pig,8,rodent,6
Name An Unhealthy Ingredient You Often See In Kids Cereal,Sugar,66,Chocolate,16,Syrup,8,Salt,4
Tell Me Something Women Would Want Men To wear More Often,Cologne,40,Suit,29,Tie,22,Shorts,7
Name Something Kids Look Forward To The Most In winter,Playing in Snow,58,Christmas,29,Sled/Ski,5,Vacation,4
Name A Sport That Requires Water In Order To Be Played,Swimming,49,Water Polo,44,Surfing,3,Water Skiing,3
How Many Dates Should You Go On Before Kissing Someone?,2,39,3,27,1,28,5,8
Name An Occupation That A Boy Wouldn’t Want His Girlfriend’s Father To Have.,Police Officer,65,Lawyer,19,Judge,6,Clergy,4
Name Something You Put In Your Mouth But Do Not Swallow.,Gum,51,Toothpaste,17,Mouthwash,16,Hard Candy/ Sucker,12
"Other Than Halloween, Name A Reason Why You Might Wear A Costume.",Costume Party,57,In A Play,25,Christmas/ Santa,13,Just For Fun,4
Name Something That’s On Your Dinner Table Every Night That The Dog Won’t Beg For.,Vegetables/ Salad,45,Salt,36,Silverware/ Plates,11,Napkin/ Tablecloth,6
Name A Day Of The Year That Some People Don’t Want To Spend Alone.,Christmas,50,Valentine’s Day,36,Birthday,8,New Year Eve’s,5
"Other Than Speeding, Name A Reason A Cop Might Pull You Over.",Light Out,35,Swerving,34,Failure To Stop,23,No Seatbelt,6
Name Something That A Businesswoman Must Always Wear To Work.,Suit,58,Bra,14,Heels,12,Nylons,6
Which Words Do You Dread Hearing At The Dentist’s Office?,Cavity,38,Drill,30,Root Canal,13,Oops,6
Name An Unhealthy Ingredient You Often See In Kids’ Cereals.,Sugar,66,Chocolate,16,Corn Syrup,8,Salt,4
Name Something Kids Would Play With Outside In Summer,Ball,45,Pool,26,Bike,13,Sprinkler/Hose,13
Name Something You Would Do If You Heard That Your Favorite Cereal Was Discontinued,Get Upset,32,Stock Up,30,Complain,27,Switch Brands,7
"name something You Hope For, But Can’t Count On, When Going On Vacation",Good Weather,62,Good time,28,Plenty Of Rest,4,Tan,4
Name A Complaint People Have About Shoes With Laces.,Come Untied,42,Length,25,Knots,15,Too Tight,9
Name Something Kids Look Forward To The Most In The Winter.,Playing In The Snow,58,Christmas,29,Sled/ Ski,5,Vacation,4
Name Something You Would Hate To Be Wearing When Company,Robe/Pajamas,55,Underwear,31,Towel,7,Birthday Suit,3
Name A Small Kitchen Appliance That A Bachelor May Not Have,Toaster,40,Blender,32,Mixer,15,Can Opener,11
Name Something That Works Better On A Windy Day,Kite,45,A Windmill,26,Sailboat,12,Chimes,5
Name Something A Child Asks For Just To Delay His Bedtime,Drink,34,Bedtime Story,28,Snacks,17,Hug/Kiss,10
Name Something A Person Who Dislikes Technology Might Not Have,Computer,49,Cell Phone,24,TV,12,Microwave,6
Name a Type Of Vehicle That’s Noisier Than The Average Car.,Semi Truck,40,Motorcycle,36,Bus,13,Train,10
Whose car would A Thief Be Unlikely To Steal?,Police Officer,50,President’s,23,His Parent’s,9,Cab Driver’s,5
Name The First Animal You Picture When You Think Of A Farm,Cow,49,Pig,32,Horse,8,Chicken,8
Name something People Eat With Crackers,Cheese,49,Soup,30,Peanut Butter,9,Chili,4
Name An event You Might Have A Lot Of Leftovers From,Thanksgiving,38,Birthday Party,23,Wedding,22,Christmas,12
Name Something You Might Stay In And Do On A Rainy Day,Read,37,Sleep,30,Watch TV/Movies,23,Clean,7
Name A Place You’d Be Surprised To See A New Dad On The Day Of His Child’s Birth,bar,45,Work,23,Sporting Event,12,Home,5
Name A Reason Why A Couple Decides To Move In Together,In Love,30,Save money,29,Getting Married,29,kids Together,10
"Name Something A Realtor Suggests You Do, In Order To Sell Your House",Paint,42,Clean It,38,Make Upgrades,11,Lower The Price,3
Name An Alcoholic Beverage That’s Also A Woman’s Name,(Bloody) Mary,48,Sherry,21,Brandy,14,Margarita,8
Name A Fruit You Often Find on Or In Pancakes,Blueberries,48,Strawberries,38,Bananas,8,Apples,5
Name Something That Comes After It’s Been Raining,Rainbow,42,Sun,37,Worms,16,Bugs,3
"early In Dating Someone, Name Something You Shouldn’t Do Repeatedly Unless The Feelings Are Mutual",Kiss,46,Say ” I Love You”,23,Touch,9,Call,8
Name A Food Or Beverage Associated With England,Tea,37,Ale,27,Fish and Chips,14,Crumpets,12
Name An Airline You can Fly Almost Anywhere in the US,United,27,American,23,Southwest,15,Delta,10
Name Something People Let Soak Overnight,Clothes,44,Food,21,Dishes,15,Dentist,9
Name Something A Woman Might Have A Hard Time Doing In Her Last Month Of Pregnancy,Sleeping,38,Tying Shoes/ Bending,29,Walking,19,Eating,6
"Name A Morning Stop That Many Adults Make first, Before going Into Work",Coffee shop,46,Day Care/School,19,Breakfast,15,Gas station,9
Name A Desert That’s Sold In Plastic Packages,Cookies,34,Snack Cake,24,pudding,19,Ice Cream,14
Name Someone in Your Life Who loves You Unconditionally,Mother,61,Dog,19,partner,11,Kids,7
Name A Game That Involves The Word King,Chess/checkers,36,King Kong,30,King Of The Hill,29,King’s Corner,3
Name Something Embarrassing That Happens To People At The Airport,Get searched,44,Get Lost,32,Miss Flight,13,Luggage Comes open,5
Name Something That’s Often Served With Cheese At A Party,Crackers,51,Wine,38,Bread,7,Meat,3
"Name Something That Some People Plan For Months, And Others Do Spur Of The Moment",Get Married,50,Go On Vacation,40,Have A baby,4,Party,3
Name A fruit That’s Hard To Eat Without Getting Messy,Orange,38,Watermelon,37,Tomato,17,Peach,5
Name Something A Person Running From The Law Might Not Put On Their Social Networking Site,Real Name,41,Address,29,Picture,13,Phone Number,12
Name An event That Most People Look Forward To Each Week,Weekend,33,Football game,24,Payday,22,Place Of worship,6
How Can You Tell That A Letter Was Written By Someone Who Hates To Waste Paper?,Small Print,42,Mistakes,31,Both Sides Used,17,Recycle Paper,8
Name An Occupation In which You’d Get To Use A Two Way Radio,Police Officer,50,Trucker,23,Construction,13,Security Guard,8
Name Something People dye A Different Color,Hair,84,Eggs,10,Shoes,4,Shirt,2
Name Something A Stalker And A Detective Both Do,Spy On People,42,Follow People,34,Snoop For Info,10,Take Pictures,4
Name A Classical Music Composer That Most Know About,Mozart,58,Beethoven,26,Bach,8,Tchaikovsy,4
Name something People Drink To Keep Them Awake,Coffee shop,71,Energy Drink,16,Soda,9,Tea,3
Name A Place In Your Car That You Are Likely To Find Something That’s Gone Missing,Under Seat,35,Glove box,33,Console,18,Trunk,11
"If You Were Out Of Town And Forgot To Pack A Change Of Clothes, What Would You Do?",Buy Some,50,Borrow Clothes,20,Wash Clothes,18,Wear Dirty Clothes,5
Name Something A Teen I More Likely To Do To Their Appearance Then Their Parents Are,Dye Hair,41,Get A Tattoo,25,Get A Piercing,17,Wear Make Up,12
Name Something Most Answer Machines Messages Ask You To Do,Leave Name,56,Leave Number,28,Leave Message,11,Call back,5
Name A Favor You Hate Having To Ask friends For,Borrow Money,50,Use Car,33,Help Moving,9,Babysitting,6
What Are Some Things That People Wore In The 80S That Are Now Out Of Fashion,LEG WARMERS,43,SPANDEX,22,SCRUNCHIES,19,BIG HAIR,8
Name An Article Of Clothing That You Don’t Wash Every Time You Wear It,Coat,34,Jeans,26,Sweater,21,Bra,5
Which Person In A School Building Is Likely To Get The Biggest Ego,Principal,54,Teacher,16,Star Athlete,13,Bully,13
"Name Something Chubby That’s Cute On A Baby, But Not On An Adult",Cheeks,62,Legs,19,Belly,12,Butt,3
Name Something You Might Buy To go with Your New Pool Table,Pool cue,59,Balls,19,Cover,4,Chalk,3
"Besides A Professional Cyclist, Name A Job That Involves Bicycle Riding",Cop,30,Messenger,28,Paper Boy,25,Clown,15
Name A Place In Your House That You Hardly Go Into,Attic,49,Basement,29,Closet,14,Garage,6
Tell Me A Situation That Makes Just About Everyone Nervous,CANNED,48,AXED,24,KICKED TO THE CURB,15,GOT THE BOOT,6
Which Part Of His Santa Costume Would A Mall Santa Be Humiliated To Lose While Working,Beard,53,Pants,24,Wig,11,Hat,4
Name A Famous James Who Many Women Consider Handsome,James Dean,36,James Bond,34,James Stewart,10,James Brown,7
"In A Classroom, How Can YOU Tell A Teacher Is A Substitute",Nervous,57,Name On Board,17,Doesn’t Know Names,14,No Control,9
"Name Something That Runs, But Doesn’t Have Legs",Cars,41,Toilet/Sink,33,Refrigerator,9,Nose,8
Name Something Many Men Refuse To Ask For Help With,Directions,33,Cooking,24,Fixing Cars,23,Paying The Bills,12
Name An Attribute Of A High School Cheerleader That Could Help Her Become President Of The United States,Spirit,33,Good Looks,22,Leadership,19,Popularity,15
Name A Reason Why A Plane May Be Delayed,Weather,56,Needs Repairs,25,Security Advisory,8,Refueling,6
Name Somebody So Rich That Their Name Is Synonymous With Wealth,Trump,49,Gates,33,Hilton,9,Rockefeller,7
Name Something A Woman Might Want Her Husband To Quit Doing Before They Have Children,Smoking,48,Drinking,23,Staying Out Late,12,Swearing,11
What Would You Expect To See In The Audience Of A Romance Movie?,COUPLES,46,AFFECTION,30,TEARS,14,TISSUE,9
Name Something You Can Wear Every Day To Feel Like A Superhero,CAPE,41,TIGHTS,32,MASK,17,WEAPON,5
"Name A Food You eat At Thanksgiving, but Not During The Rest Of The Year",Stuffing,43,Cranberry Sauce,31,Pumpkin Pie,18,Yams,7
Name The Least Private Room In Your House,Kitchen,48,Living Room,34,Bathroom,9,Bedroom,4
Name Someone Who Always Has Advice To Give You,Mom,57,Dad,17,Doctor,10,Best Friend,7
Name An Occupation That You Could Show Off At A High School Reunion.,Doctor,65,Lawyer,26,Actor/Model,5,Business Person,4
"Besides Tennis, Name Something People Associate With Andre Agassi",Brook Shields,43,Commercials,24,Hair,20,Earrings,7
What Would You Have To Learn To Do Before Starring In A John Wayne Movie,Ride A horse,53,Shoot,16,Act,12,Fight,10
Name Something That You’d Be Asked To Stop Doing In A Movie Theater,Kissing,20,Throwing Popcorn,7,Smoking,6,Laughing,5
"According To Fairly Tales, name A Way To Meet Prince Charming",Kiss A Frog,43,Fall Fast Asleep,32,Go To A Ball,15,Lose Your Shoe,6
Name Something Everybody knows About Dr. Seuss,Green Eggs And Ham,25,Rhymes,22,Cat In The Hat,4,Not A Doctor,3
Name Something From Home You Miss While Staying In A Hotel,Bed,56,Homemade Meal,14,Family,10,Pet,8
Name A Reason You’d Write A Check Instead Of Using Cash Or A Credit Card.,No Cash/Credit,45,Using Mail,33,To Keep Records,14,Post Dated,6
Name A Piece Of furniture That’s Too big To Fit In A VW Bug,Couch,59,Lounge Chair,16,Bed,7,Table,6
"When Doing Laundry For The First Time, Name Something A Single Guy Might Screw Up",Mixing Colors,46,Bleach Clothes,26,Too Much Soap,8,Things For Dry Clean,2
If You Loan A Car To A Friend Name Something You Hope They Don’t Do.,Wreck It,84,Make A Mess,6,Smoke In It,3,Use Up The Gas,3
Name The Age That A Boy First Becomes Interested In Girls.,13,37,12,33,10,15,14,11
What Was The Last Item On Which You Spent At Least $500?,Car,41,TV,37,Computer,15,Clothes,5
"If You Were Turned Into A Bee, Name Something You’d Have To Learn How To Do.",Make Honey,39,Fly,36,Sting,11,Collect Pollen,9
What Would A Cowboy Do To Cheer Up When He’s Had A Bad Day?,Drink,45,Ride His Horse,37,Sing/Play Guitar,14,Dance,3
Name A Type Of TV Show You’d Be Surprised To See A Man Watching.,Soap Opera,74,Talk Shows,15,Cooking,5,Fashion,2
Name Something That’s Served At Room Temperature.,Red Wine,35,Cake/Pie,27,Bread,25,Fruit,9
Name A Gameshow That Has Been Around Forever.,Price Is Right,49,Wheel Of Fortune,19,Family Feud,18,Jeopardy,9
Name Something You’d Be Surprised To Find That A Superhero Couldn’t Do.,Fly,60,Fight,17,Apprehend Bad Guys,13,Lift Heavy Weight,8
Name A Prop You Would See In An Indiana Jones Movie.,Rope,47,Rock,25,Weapon,15,Map,9
Name A Reason Why You’d Get Blindfolded.,Surprise Party,50,Pin Tail On Donkey,27,Kidnapped,18,Pinata,3
Name Something People Look For When Choosing A Diamond.,The Size,68,The Price,17,If It’s Real,6,Quality,5
"Name Something People Pass Out For Trick-Or-Treat, That A Child May Be Disappointed To Get.",Apple,54,Toothbrush/Paste,26,Pennies,9,Raisins,7
What Might You Do For A Gift If You’re Short On Cash?,Homemade Gift,47,Give A Card,36,Charge It,7,Re Gift,5
Name Something Talk Show Hosts Do During A Commerical Break.,Use Bathroom,30,Talk To Audience,26,Drink Water/Coffee,20,Refresh Makeup/Hair,24
Name Something You Have To Buy For A Wedding,New Clothes,39,Gift,29,Cake,17,Ring,10
"Name Something In A Beach Bag, That’s Not In Most Purses.",Towel,54,Sunscreen,30,Beach Toys,6,Sandals,5
Name Something People Do To Their Body That Other People Think Is Crazy.,Pierce,58,Tatoo,32,Tan,3,Shave Their Head,2
Name a A Synonym For Marriage That Doesn’t Make It Sound Fun,Ball and Chain,57,Tie The Knot,23,Hitched,12,Tied Down,3
"In An 8 Hour Work Day, How Many Hours Does The Average Person Spend Working.",6,48,7,23,5,18,4,6
Name The Age That Women Stop Dying Their Hair And Just Decide To Let It Go Grey (Numeric Only).,50,37,60,32,65,18,70,9
What Might Someone Promise To Do If They Wanted To Be Elected President?,Lower Taxes,60,World Peace,17,Create Jobs,16,Affordable Healthcare,5
Name An Instance When Parents Are Likely To Ask Their Children If They Need To Use The Bathroom.,Bedtime,45,Before A Trip,33,Before Church,14,At The Movies,7
Name A Place In The House Where Frightened Children Go During A Thunderstorm.,Closet,36,Parent’s Bed,25,Under Their Bed,23,Basement,12
Name Something That Both A Detective And A Camper Use.,Flashlight,46,Magnifying Glass,22,Compass,17,Camera,11
Name Something Donald Trump Probably Keeps With Him At All Times.,Wallet,72,Cell Phone,11,Bodyguard,7,Checkbook,4
"Name Something That’s Supposed To Be Funny, But Rarely Is.",Jokes,50,Clown,23,Movies,21,Comedian,3
Tell Me How You Know That Your Friend Is On A Diet.,Eating Less,38,Losing Weight,32,Eating Healthy,20,Cranky,6
Instead Of Having A Shouting Match Name Another Tactic A Person Might Use To Win A Disagreement,Silent Treatment,38,Fight,28,Walk Away,17,Cry,13
Name Something On Their Bodies That People Color In Black.,Hair,48,Nails,33,Eyes,12,Eyebrows,6
Where Do People Go After They Leave Church Service?,Home,44,Out To Eat,34,Shopping,12,Friend’s/Relatives House,8
Name Something A Teen Might Need Their Parent’s Permission To Do Before They’re 18.,Get Driver’s License,52,Marry,27,Get A Tattoo,13,Get A Piercing,4
Name Something A Baby Spends A Lot Of Time Doing.,Sleeping,66,Crying,22,Eating,6,Going To The Bathroom,2
Name An Expression Little Kids Use When They Have To Go To The Bathroom.,I Have To Go Pee Pee,60,I Have To Go Potty,25,Poo Poo,6,Got To Go Tinkle,4
"Name Something That You Write Out By Hand, Instead Of Type.",Letter/Card,52,Check,27,Signature,11,Grocery List,6
Name Something You Do To Get Rid Of A Song That’s Stuck In Your Head.,Sing/Hum it Through,45,Think Of Other Songs,36,Go To Sleep,10,Have A Conversation,6
"Name Something You’d Buy For Your Daughter’s Barbie Doll, But Probably Not For Your Daughter.",Skimpy Clothes,47,Car,26,Dream House,13,Ken/Friends,9
What Do You Do When Your Stomach Growls?,Eat Something,47,Drink Water,18,Hold It,17,Laugh,16
Name An Ingredient That Tacos Would Be No Good Without.,Meat,51,Cheese,37,Salsa,5,Lettuce,5
