Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6
Name A Gift That Would Be Ideal For A Chef,Knives ,Apron ,Hat ,Pots & Pans ,Cookware Dishes ,Cookbook 
Name A Character From The Muppet Show,Kermit The Frog ,Miss Piggy ,Fozzy Bear ,Swedish Chef ,Waldorf & Statler ,Sam The Eagle 
Name A character From Sesame Street,Big Bird ,Oscar ,Bert ,Ernie ,The Count ,Elmo 
Name Something You Slice,Bread ,Cake ,Cheese ,Pizza ,Cucumber ,Onion 
Name A Way Of Telling A Person Is A Transvestite,Womans Clothes ,Adams Apple ,Makeup ,Big Hands ,Stuble ,Hairy Legs 
Name A Game You Can Play In Bed,Eye Spy ,Cards ,Sex ,Hide & Seek ,Playstation ,Pillow Fight 
Name A Part Of The Body You Have 2 Of,Arms ,Ears ,Eyes ,Legs ,Breasts ,Testicles 
Name A Popular Type Of Cheese,Chedder ,Stilton ,Edam ,Parmezan ,Brie ,Fetta 
Name Something That Posh People Have,Money ,Big House ,Big Car ,Housekeeper / Servant ,Posh Accent ,Designer Clothes 
Name Something That Uses Lots Of Balls,National Lottery ,Snooker ,Tennis ,Golf ,Bingo ,Ball Pit 
Name Something You Cut,Hair ,Paper ,Bread ,Wood ,Cards ,Corners 
Name A Song You Associate With Elvis Presley,Blue Suede Shoes ,Jailhouse Rock ,Heartbreak Hotel ,Suspicious Minds ,Love Me Tender ,Hound Dog 
Name A Well Known English Footballer From The 60's,Bobby Moore ,Geoff Hurst ,Bobby Charlton ,Alan Ball ,Gordon Banks ,Jack Charlton 
Name Something You Might Need If Lost In A Desert,Water ,Food ,Hat / Cap ,Shade ,Map ,Compass 
Name Something That Makes A Restaurant First Class,Food ,Service ,Wine ,Price ,Decoration ,Atmosphere 
Name Something That Most Children Have In Their Bedroom,Bed ,Toys ,Teddy Bear ,Books ,TV ,Wardrobe 
Name An Animal You Might Find At The Beach,Dog ,Crab ,Seagull ,Person ,Fish ,Pony 
Name Something You Find In A Hotel Room,Bed ,Bible ,Towel ,Tv ,Soap ,Phone 
Name A Famous England Footballer From The 70's,Kevin Keagan ,Ray Clemence ,Peter Shilton ,Trevor Brooking ,Steve Coppell ,Mick Mills 
Name Something A Puppy Likes To Play With,A Ball ,A Bone ,Shoe ,Toy ,Wool ,People 
Name Something You Might Practice,Piano ,Singing ,Sports ,Tennis ,Golf ,Juggling 
Name Something You Might Associate With The Colour Black,Night ,White ,Witch ,Dark ,Dress ,Funeral 
Name Something You Associate With The Word Cork,Wine ,Bottle ,Tiles ,Corkscrew ,Champagne ,Ireland 
Name Something People Like To Receive In The Mail,Cheque ,Money ,Letter ,Present ,Card ,Photos 
Name Something That Makes People Smile,Joke ,Clown ,Comedian ,Babies ,Laughter ,Partner 
Name Something That Bends Easily,Rubber ,Plastic ,Paper ,Wire ,Liquorice ,Gymnast 
Name A Time Of The Year That Everybody Loves,Christmas ,Holidays ,Summer ,Spring ,Birthday ,Thanksgiving 
Name Something Green,Frog ,Grass ,Trees ,Leaves ,Apple ,Lime 
Name Something You Might Eat At A Seafood Restaurant,Prawns ,Fish ,Crab ,Oysters ,Lobster ,Caviar 
Name Something Kids Play With On Their Way To School,Ball ,Tin Can ,Rocks ,Sticks ,Yo-Yo ,Mobile Phone 
Name Something You Wear To A Fancy Dress Party,Costume ,Mask ,Hat ,Dress ,Wig ,Makeup 
Name Something You Hose Down On A Hot Day,Yourself ,Dogs ,Kids ,House ,Garden ,Car 
Name Something You Associate With A Fortune Teller,Crystal Ball ,Cards ,Future / Fortune ,Gypsy ,Palm Reading ,Bullshit 
Name Something That Whistles,Bird ,Kettle ,Train ,Whistle ,Person ,Wind 
Name Something Associated With Rowing,Oars ,Boat ,Water ,The Olympics ,A Canoe ,Steve Redgrave 
Name A Famous British Footballer From The 90's,Ian Wright ,Stuart Pearce ,Paul Ince ,Teddy Sheringham ,Sol Campbell ,Stave McManaman 
Name An Event Where You Have Your Photo Taken,Wedding ,Birthday Party ,Night Out ,Graduation ,School Play ,Photoshoot 
Name A Model Of Video Game Console,Playstation ,X Box ,Dreamcast ,Megadrive ,Wii ,Snes 
