Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5
Name An Instrument Used For Measuring,Ruler ,Tape Measure ,Thermometer ,Scales ,Protractor 
Name Something That Always Needs Filling Up,Car ,Stomach ,Kettle ,Wallet ,Bath 
Name An Animal That Eats Meat,Dog ,Cat ,Lion ,Tiger ,Crocodile 
Name Something That Is Made From Aluminium,Cans ,Foil ,Window Frame ,Saucepan ,Bicycle 
Name Something That Is Written Alphabetically,Phone Book ,Dictionary ,Address Book ,Alphabet ,Filing List 
Name Something You Do When Alone,Sleep ,Read ,Bath / Shower ,Sing ,Computer / Internet 
Name A Type Of Alarm,Fire ,Car ,Burglar ,Clock ,Personal 
Name Something Associated With Aliens,Spaceship / UFO ,Outer Space ,Mars / Martians ,ET ,Green 
Besides A Church Name A Place You Might Walk Down An Aisle,Cinema ,Shop / Supermarket ,Aeroplane ,Theatre ,Bus 
Name Something That Might Set A Metal Detector Off At An Airport,Keys ,Watch ,Knife ,Coins ,Gun 
Besides Air Conditioning Name A Word That Starts With Air,Plane ,Port ,Craft ,Force ,Vent 
Name Something You Shouldn't Do In An Aeroplane,Smoke ,Talk On The Phone ,Open Door ,Open Window ,Jump Out 
Name Something You Fill With Air,Balloons ,Tyres ,Lungs ,Lilo / Air Bed ,Airbags 
Name Something That May Keep You Awake At Night,Noises ,Dogs ,Coffee ,Snoring ,Babies 
Name Something You Buy Used Mainly In The Mornings,Cereal ,Toaster ,Milk ,Toothbrush / Toothpaste ,Newspaper 
Apart From The Queen Name A Famous Woman In History,Joan Of Ark ,Florence Nightingale,Margeret Thatcher ,Mother Theresa ,Cleopatra 
Name A Creature With A Large Mouth,Hippopotamus ,Crocodile ,Shark ,Whale ,Snake 
Name Something You Might Do To A Moustache,Trim It ,Shave It ,Twirl It ,Comb It ,Wax It 
Name An Animal That Lives In A River,Fish ,Otter ,Crocodile ,Frog ,Newt 
Name Something You Might Catch In A Net,Fish ,Butterfly ,Crab ,Tennis Ball / Ball ,Shuttlecock 
Name A Noisy Appliance,Mower ,Blender / Mixer ,Vacuum / Hoover ,Hair Dryer ,Washing Machine 
Name Something That Goes Well With Custard,Jelly ,Apple Pie ,Banana ,Cream ,Pudding 
Name Somethiong You Associate With A Hippopotamus,Water ,Big / Fat ,Mud ,Big Teeth ,Africa 
Name Something That Children Always Complain About,Homework ,School ,Bed Time ,Hungry ,Boredom 
Name Something You Might Wave At A Football Match,Flag ,Scarf ,Hand ,Hat ,Pie 
Name Something That Might Be Swept Along By Wind,Leaves ,Paper ,Dust ,Litter / Rubbish ,Kite 
Name The Best Way Of Telling Someone You Love Them,Kissing Them ,Hugging Them ,Flowers ,Telling Them ,Gifts / Presents 
Name Something Hot That Can Be Served In A Cup,Tea ,Coffee ,Soup ,Hot Chocolate ,Honey & Lemon 
Name Something You Might Take With You On A Bicycle Tour,Water / Drink ,Helmet ,Pump ,Map ,Backpack 
Name Something That Has Straps,Bra ,Bag ,Braces ,Saddle ,Shoes 
Name Something You Might Find At the End Of A Fishing Line,Fish ,Bait ,Hook ,Boot ,Bag 
Name Something You Hide When Unexpected Guests Arrive,Dirty Clothes ,Dishes ,Rubbish / Junk ,Food ,Money 
Name Something You Associate With Fairies,Wand ,Elves ,Wings ,Magic ,Fairy Tales 
Name A Word That Follows Fried,Chicken ,Eggs ,Fish ,Rice ,Chips 
Name A Bright Sparkling Object,Star ,Diamond ,Crystal ,New Coin ,Glitter 
Name A Piece Of Clothing That Might Be Made Of Silk,Shirt / Blouse ,Scarf ,Tie ,Pyjamas ,Stockings 
Name Someone Who Might Wear Big Boots To Work,Builder ,Fireman ,Farmer ,Butcher ,Santa Clause 
Name Something You Might Need To Set A Table In A Restaurant,Table Cloth ,Cutlery ,Plates ,Salt / Pepper ,Menu 
Name An Accessory You Can Get For Your Car,Seat Covers ,Satelite Navigator ,Music System ,Roof Rack ,Child's Seat 
Name A Common Type Of Ache,Head ,Tooth ,Back ,Ear ,Heart 
Name An Activity Done In Barefoot,Swimming ,Showering ,Water Skiing ,Judo / Karate ,Grape Crushing 
Name An Acticity That Requires Someone To Hold On Whey They Are First Learning To Do It,Swimming ,Skating ,Riding A Bike ,Dancing ,Walking 
Name An activity the Requires Special Footwear,Football ,Skating ,Tennis ,Running ,Golf 
Name A Shade Of Blue,Dark ,Sky ,Light / Pale ,Navy ,Royal 
Name A Well Known Childrens Song,Twinkle Twinkle ,Ba Ba Black Sheep ,Humpty Dumpty ,Mary Had A Little Lamb ,Rock A Bye Baby 
Name Something That Looks Better Polished,Shoes ,Silver ,Floor ,Car ,Wood / Furniture 
Name Something Associated With Love,Affection ,Romance ,Care ,Friendship ,Presents 
Name Something You Might Find On Your Doorstep,Mat ,Milk ,Newspaper ,Parcel ,Shoes 
Name Something People Remember About Their First Date,Kiss ,Nerves ,Place ,Romance ,Didn't Turn Up 
Name A Type Of Pipe,Water ,Tobacco ,Bag ,Wind ,Hose 
"Apart From A Car Park, Name A Word That Follows Car",Wash ,Registration ,Phone ,Caravan ,Carpet 
Name A Famous Puppet,Kermit ,Miss Piggy ,Pinnochio ,Punch / Judy ,Basil Brush 
Name Something That Begins With Micro,Microwave ,Microphone ,Microscope ,Microchip ,Microfilm 
Name Something Children Ask Their ParentsTo Do Before They Go To Sleep,Bed Time Story ,Tucked In ,Kiss Them ,Turn Out Lights ,Brush Teeth 
Name Something That Might Pile Up When You're Feeling Lazy,Washing ,Ironing ,Dishes ,Work ,Bills / Debts 
Name Something A Critic Might Review,Movie ,TV ,Book ,Play ,Restaurant 
Name Something That People Swap,Money ,Books ,CD's / DVD's ,Addesses / Numbers ,Business Cards 
Name A Type Of Test That Almost Everyone Takes,Driving ,Eye ,Blood ,Exam ,IQ 
Name Something You Might Find In A Freezer,Ice Cream ,Meat ,Ice ,Peas ,Chicken 
Name A Seafood Delicacy,Oyster ,Crab ,Lobster ,Caviar ,Prawns 
Name Something You Might See In Front Of A House,Front Garden ,Fence ,Hedge / Plant ,Gate ,Bailiffs 
Name Something A Clown Might Wear,Red Nose ,Hat ,Big Shoes ,Wig ,Face Paint 
Name Something People Do When They Say Goodbye To Someone,Kiss ,Cry ,Wave ,Shake Hands ,Hug 
Name A Nickname For People With Red Hair,Ginger ,Carrot Top ,Red ,Copper Top ,Rusty 
Name Something You Can Adjust,TV ,Seat Belt / Belt ,Car Seat ,Bra Strap ,Ladder 
Name A Type Of Accomodation,Hotel ,House ,Tent ,Caravan ,Prison 
Name Something Associated With Acting,Actor / Actress ,Movies ,Stage ,Script ,Drama 
Name An Authority Figure,Police ,Boss / Manager ,Parent ,King / Queen ,Lawyer / Judge 
Name Something That Might Be Described As Adorable,Baby / Child ,Puppy ,Teddy Bear ,Kitten ,Dress 
Name An Adult Board Game,Trivial Pursuit ,Monopoly ,Chess ,Scrabble ,Pictionary 
Name Something You Stop Doing When You Become An Adult,Suck Thumb ,Go To School ,Growing ,Playing ,Being Foolish 
Name Somewhere You Might See An Advertisement,TV ,Newspaper ,Magazine ,Billboard ,Internet 
Name A Place Where You Might Have To Stand,Queue ,Elevator ,Bus / Bus Stop ,Church ,Crossing 
Name Something That Is A Real Nuisance When It Becomes Blocked,Drain ,Toilet ,Nose ,Sink ,Road 
Name Something Found Outdoors That People Might Collect,Shells ,Rocks / Stones ,Butterflies ,Junk ,Flowers / Plants 
Name Something A Dog Might Do To Tell You How He Feels,Bark ,Whine / Whimper ,Lick You ,Growl ,Wag Tail 
Name Something You Teach Children To Be Careful With,Matches / Fire ,Knives ,Glass ,Boiling Water ,Money 
Name Something That Comes In An Aerosol Can,Hair Spray ,Deodorant ,Air Freshener ,Paint ,Insecticide 
Name Somewhere You Might Find Air Conditioning,Office ,Car ,Bank ,Aeroplane ,Hotel 
Apart From Exercise Name Something You Associate With Aerobics,Sweat ,Leotards ,Gym ,Instructor ,Music 
Name Something That Has An Aerial,Car ,TV ,Radio ,House ,Insects 
Name Someone Whose Advice You Usually Accept,Mother / Father ,Best Friend ,Husband / Wife ,No One ,Teacher 
Name A Type Of Bell,Church ,Doorbell ,Bluebell ,School ,Tubular 
Name Someone You Might Phone In An Emergency,Police ,Ambulance ,Fire ,Parents ,Partner 
Name Something You Put In Your Hair,Hair Clip ,Hair Spray ,Hair Gel ,Mousse ,Alice Band 
Name Something That Sends You To Sleep,Music ,Sleeping Tablets ,Booze ,Tiredness ,Boredom 
Name A Number That People Consider To Be Lucky,7 ,13 ,11 ,6 ,2 
Name Something People Do When They Are Frightened,Scream ,Jump ,Run Away ,Pass Out ,Freeze 
Name Something People Hate To Find On Their Windscreen,Flies / Insects ,Bird Mess ,Ticket ,Fliers ,Frost 
Name Something People Associate With King Arthur,Excaliber ,A Court ,Knights ,His Wife (Guinevere),A Sword 
Name A Sport Where A Player Might Wear Spiked Or Studded Shoes,Cricket ,Football ,Athletics / Running ,Rugby ,Golf 
Name Something A Flat Has That Would Put You Off Renting It,Insects ,Rats / Mice ,Damp ,Close To Railway ,Noisy Neighbours 
Name Something That Can Be Folded,Clothes / Shirts ,Napkin ,Paper ,Towels ,Sheet 
Name The Age At Which Children Start Buying Christmas Gifts,10 ,12 ,8 ,16 ,5 
Name Something You Usually Buy At A Newsagent,Newspapers ,Eggs ,Cards ,Sweets ,Cigarettes 
Name A Day Of The Week Many People Consider To Be The Busiest,Monday ,Friday ,Saturday ,Thursday ,Tuesday 
What's The Worst Thing About Camping Out,Bugs ,Rain ,Mosquitoes ,Sleeping On Ground,Being Cold 
Name A Profession Where You Have To Smile A Lot,Model ,Salesperson ,Cabin Crew ,Receptionist ,Hostess 
How Many Sick Days Does The Average Person Have A Year,5 ,4 ,7 ,10 ,3 
Name Something That Drives You Potty On Your Answer Machine,Hang Up ,No Message ,Long Messages ,Sing ,Don't Leave Number
Name A Sport That Doesn't Require A Lot Of Equipment,Football ,Karate ,Rugby ,Running ,Boxing 
Name A Food That Is Often Cooked In A Microwave,Popcorn ,Pizza ,Tv Dinner ,Milk ,Hot Dog 
Name A Profession For Someone Good With Their Hands,Carpenter ,Secretary / Typist ,Masseuse ,Physiotherapist ,Doctor 
Name A Room In Your Home Thats Hard To Keep Clean,Bathroom ,Kitchen ,Bedroom ,Study ,Childrens Room 
Name A Reason For Going To See A Film You Weren't Interested In,Someone Else ,Boredom ,Husband Wife ,On A Date ,Get Out Of House 
Name Something You'd Need To Look Like A Magician,A Hat ,A Wand ,A Rabbit ,A Cloak ,An Assistant 
Name A Musical Instrument That's Difficult To Play,Violin ,Harp ,Piano ,Guitar ,Flute 
Name Something You Hate About The Way People Eat,Mouth Open ,Smack Their Lips ,Chew Loudly ,Eat Too Fast ,Sloppy 
Name Something That Has A Gutter,House ,Roof ,Street ,Bowling Alley ,Stream 
Name A Sea Creature You'd Hate To Run Into While Scuba Diving,Shark ,Sea Snake ,Octopus ,Whale ,Electric Eel 
Name A Part Of A Car That's Often Replaced,Tyres ,Exhaust ,Windscreen ,Clutch ,Windscreen Wipers 
Name A Letter Of The Alphabet Not Often Used,Z ,Q ,X ,Y ,U 
Name An Occasion When People Sing,Birthday Party ,In Church ,Christmas ,Weddings ,When They Are Happy 
Name A Food Commonly Eaten With Eggs,Chicken ,Bacon ,Liver ,Fish ,Sausages 
Name A Reason To Suspect You Are Becoming A Martian,Turning Green ,Ears Grow ,Growing Feelers ,Eyes Get Bigger ,Glowing 
Name Something That You Can Spin,Spinning Top ,Bottle ,Money ,Wheel ,Ball 
Name Something That Helps A Baby Go To Sleep,Rocking ,Music ,Bottle ,Lullaby ,Dummy 
Name Something You'd Hate To Land In After Skydiving,Water ,Cow Pat ,Mud ,Cactus ,Tree 
Name Something Jugglers Use That Could Injure Them,Knives ,Flaming Sticks ,Chainsaw / Saws ,Bowling Balls ,Bottles 
Name Something That Grows On A Vine,Grapes ,Tomatoes ,Ivy / Poison Ivy ,Strawberries ,Blackberries 
Name Someone That Carries A Clipboard,Coach / Trainer ,Boss ,Surveyorr ,Meter Reader ,Teacher 
"Apart From A Matress, Name Something People Sleep On",Floor ,Sofa ,Futon ,Pillow ,Blanket 
Name Something People Turn On Before They Get Into Bed,Alarm ,TV ,Light ,Radio ,Lamp 
Name Something Computers And Sports Cars Have In Common,Speed ,Expensive ,Computer System ,Buttons ,Hard Drive 
Name The Age At Which A Girl Would Start Wearing Lipstick,13 ,12 ,14 ,16 ,10 
Name Something That's Made With Banana's,Banana Split ,Pudding ,Banana Bread ,Milkshake ,Banana Cake 
Name A Way Of Holding Up Your Trousers,Belt ,Fat Tummy ,String ,Braces ,Rope 
Apart From A Mirror Name Something You Might See You're Reflection In,Water ,Window / Glass ,Lake / Pond ,Polished Steel ,Cup 
Name Something A Person Wears That Might Be Rented,Tuxedo ,Fancy Dress ,Jewellery ,Wedding Dress ,Suit 
Name Something About The Future People Discuss With A Psychic,Love Life ,Money ,Their Marriage ,Who They'll Marry ,Their Life 
Name Something A Gladiator Might Take With Him Into Battle,Sword ,Shield ,Helmet ,Chariot ,Horse 
Name Something People Do In A Restaurant,Eat ,Drink ,Talk ,Read ,Dance 
Name A Popular Wedding Gift,Toaster ,Money ,China ,Silverware ,Dishes 
Name Something People Put Behind Their Ears,Pen / Pencil ,Hair ,Cigarette ,Cologne / Perfume ,Spectacles 
Name A Circus Act That Requires A Net,Tightrope Walk ,Trapeze Artist ,Acrobat ,Human Cannonball ,High Beam 
Name Something You Might See Inside A Bank,Clerks ,Money ,Vault ,Guard ,Safe 
Name Something A Woman Might Put In Her Hair,Clip ,Hair Spray ,Comb / Brush ,Hair Pin ,Rollers 
Name A Professional Who Keeps Clients Waiting,Doctor ,Lawyer ,Dentist ,Accountant ,Salesman 
Name A Food That Tastes Good Hot Or Cold,Pizza ,Chicken ,Sandwich ,Soup ,Spaghetti 
Give Me A Mans Name That Is Only 3 Letters Long,Bob ,Ben ,Dan ,Jim ,Tim 
How Long It Takes The Average Person To Run A Mile,10 Mins ,8 Mins ,20 Mins ,6 Mins ,15 Mins 
Name Something A Young Man Might Do To Look Older,Grow A Moustache ,Grow Long Hair ,Stuble ,Get A Tattoo ,Fake I.D 
Name A Reason Your Parents Might Want You To Join The Army,Earn A Living ,See The World ,Make Them Proud ,Grow Up ,No Other Prospects 
Name A Job A Person Might Apply For At A Super Market,Checkout Assistant ,Security Guard ,Forklift Driver ,Supervisor ,Manager 
Name An Accessory Children Put On Their Bikes,Bell ,Light ,Things In The Spokes ,A Clapper ,Stickers 
Name A Musical Instrument You Blow Into,Trumpet ,Flute ,Clarinet ,Saxophone ,Horn 
Name A Reason A Husband Might Send His Wife Flowers,Anniversary ,Apology ,Birthday ,Valentine's Day ,Say He Loves Her 
Name A Fruit That Would Be Really Hard To Juggle,Watermelon ,Melon ,Strawberries ,Papaya ,Pineapple 
Name Something Apart From Books You Might Find In A Library,Magazines ,Cassettes ,Computers ,Newspapers ,Films / Dvd's 
Name Something You Do In A Booth,Have Photo Taken ,Have Your Fortune Told ,Kiss ,Smoke ,Work 
Name Something That Is Sold By The Bunch,Bananas ,Grapes ,Flowers / Roses ,Carrots ,Onions 
Name Something You Dont Want To See From An Aeroplane Window,Engine On Fire ,Broken Wing ,A Bird ,Another Plane ,Clouds 
Name Something In The Home That People Might Trip Over,Extension Cable ,Childrens Toys ,Telephone Cable ,Carpet ,Shoes 
Name Something You Might Want To Have Straightened,Hair ,Teeth ,Nose ,Trousers ,Bumper 
Name Something You Always See In Westerns,Guns ,Cowboys ,Indians ,Horses ,Saloon 
Name A Slang Word For A Man,Bloke ,Geezer ,Fella ,Guy ,Chap 
Name Something a Magician Might Have,Wand ,Rabbit ,Hat ,Assistant ,Pack Of Cards 
Name Something That Squirts,Water Pistol ,Spray Bottle ,Ketchup ,Plunger ,Shampoo 
Name Something That Squeaks,Mouse ,Door Hinge ,Bed ,Floor ,Wheel 
Name Another Word For Cold,Freezing ,Chilly ,Flu ,Frigid ,Brisk 
Name A Specific Type Of Doctor,Gynaecologist ,Paediatrician ,Optician ,Dentist ,Cardiologist 
Name Something That May Be Found Washed Up On the Beach,Sea Shells ,A Body ,Whale ,A Bottle ,Litter 
Name Something That Never Lasts As Often As People Would Like,Money ,Sex ,Youth ,A Holiday ,A Ride 
Name A Domestic Appliance That Can Get Hot,Iron ,Oven ,Heater ,Hair Dryer ,Toaster 
Name Something A Golfer Would Have In His Bag,Clubs ,Flask ,Tees ,Balls ,Lunch 
Name Something A Child Star Does That The Average Child Doesn't,Work ,Act ,Have A Tutor ,Learn Lines ,Make Money 
Name Something That Is Displayed In A Glass Case,Jewellery ,Trophies / Cups ,China / Porcelain ,Figurines ,Pictures 
Name Something Your Mum Made You Do That You'd Do In The Army,Make Your Bed ,Clean Up ,Dishes ,Laundry ,Obey 
Name Something you Might Find On Top Of A Tv Set,Video Recorder ,Aerial ,Pictures ,Remote Control ,Clock 
Name A Famous Muppet,Kermit ,Fozzy Bear ,Miss Piggy ,Gonzo ,Rolf 
Name Something A Child Might Do Before They Go To Bed,Brush Their Teeth ,Ask For A Story ,Pray ,Kiss Goodnite ,Turn Light Out 
Name Something With A Hole In the Centre,Doughnut ,Polo Mint ,CD ,Plate ,Putting Green 
Name An Occupation Where You Have To Wake Up Early,Nursing ,Doctor ,Newsagent ,Paper Boy ,Baker 
Name Something Associated With Alice In Wonderland,White Rabbit ,Mad Hatter ,Cheshire Cat ,The Looking Glass ,Tea Cup 
Name Another Name For A Body Builder,Muscular ,Strong ,Beefy ,Muscle Man ,Hunk 
Name Something You Need When You Give A Dog A Bath,Shampoo ,Water ,A Hose ,A Dog ,A Bath 
Name Something That Tastes Better With Salt On It,Chips ,Eggs ,Potatoes / Mash ,Crisps ,Tomatoes 
Name A Food With Raisins In,Scones ,Cereal ,Biscuits ,Oatmeal ,Puddings 
Name A Reason You Might Have To Get Change From A Pound,Pay Phone ,Get A Drink ,Vending Machine ,Parking Meter ,Get On A Bus 
Name Something People Buy From A Butchers,Meat ,Stuffing ,Sausages ,Eggs ,Dog Food 
Name An Occupation Where You Might Ride A Horse,Jockey ,Police Officer ,Cowboy ,Ranger ,Rodeo Rider 
Name Something That Starts With The Word Ice,Ice Cream ,Ice Cube ,Iced Tea ,Icicle ,Ice Hole 
Name A Height In Feet And Inches Where People Consider A Man Tall,Six Foot ,6 Foot Three ,6 Foot Two ,6 Foot One ,7 Foot 
Name Something Mice Hate,Cats ,Rats ,High Frequencies ,Mouse Traps ,Water 
Name Something An Astonaut And A Baby Have In Common,Weigh Very Little ,Nothing ,Bottled Food ,Umbilical Cord ,Both Float 
Name Something You'd Hate To Happen Whilst House Sitting,House Fire ,Burst Pipe ,Leaking Roof ,Power Cut ,Accident 
"""Name A Pasta Dish That Ends With The Letter """"I""""""",Spaghetti ,Linguini ,Ravioli ,Tortellini ,Macaroni 
Name A Place Where A Teenage Girl Might Keep Her Diary,Under The Bed ,Bedside Drawer ,Wardrobe ,In Her Bag ,On Her Computer 
Name A Way You Can Tell That A Person Has Been Crying,Red Eyes ,Watery Eyes ,Tears ,Swollen Eyes ,Red Face 
Name Something You Tap,Foot / Feet ,Fingers ,Table ,Pencil ,Drum 
Name Something A Teacher Can Do To Ruin A Pupils Day,Detention ,Give A Test ,Pop Quiz ,Shout At them ,Homework 
Name A Profession That Requires Really Good Balance,Highwire Act ,Acrobat ,Gymnast ,Circus Performer ,Ice Skater 
Name A Reason People Give To Play Certain Lottery Numbers,Birthdays ,Ages ,Door Numbers ,Personal Significance ,Lucky 
Name Something You Might Receive In A Gift Basket,Fruit ,Sweets ,Perfume ,Bath Oil ,Wine 
Name A Type Of Music Thats Hard To Dance To,Rap ,Heavy Metal ,Classical ,Rock & Roll ,Opera 
Name Something Thats Fluffy,Cotton ,Rabbit ,Pillow ,Cat / Kitten ,Teddy Bear 
Name Something People Do In A Cinema Apart From Watch The Film,Eat ,Drink ,Snog ,Talk ,Sleep 
Name An Animal That Can Climb Trees,Monkey ,Squirrel ,Cat ,Bear / Koala ,Racoon 
Name Someone Who Might Make You Pretend You're Not At Home,Religious Groups ,Saleman ,Police ,Bill Collector ,Mother In Law 
Name Something That Annoys You When You Take The Bus,People Talking ,No Seats ,Loud Music ,Tramps ,Sitting Too Close 
Name A Bill You'd Be Afraid To Pay Late,Electricity ,Council Tax ,Rent ,Gas ,Child Support 
Name Something You Might Study At Clown College,Make Up ,Comedy ,How To Juggle ,Magic ,Getting Dressed 
Name A Vegetable That Isn't Green,Carrot ,Sweetcorn ,Potato ,Cauliflower ,Radish 
Name The Toughest Part About Owning An Elephant As A Pet,Cleaning Up ,Feeding Him ,To Big To Handle ,No Room ,Bathing Him 
Name Something That People Like To Put Whipped Cream On,Strawberries ,Ice Cream ,Scones ,Pie / Apple Pie ,Sundae 
Name Something People Look Through To See Things More Closely,Magnifying Glass ,Glasses / Spectacles ,Microscope ,Binnoculars ,Books 
Name A Cartton Character Who Is Always Getting Hurt,Wile E Coyote ,Daffy Duck ,Tom ,Road Runner ,Kenny 
Name A Type Of Lawn Ornament,Gnome ,Gazebo ,Bird Bath ,Bird ,Pink Flamingo 
Name Something You Grease,Pan / Grill / Skillet ,Car ,Door Hinge ,Engine / Motor ,Desk 
Name The First Thing You Do When You Get In Your Car,Put Seat Belt On ,Start Engine ,Close The Door ,Keys In Ignition ,Lock The Door 
Name A Part Of A Bicycle It Would Be Hard To Ride Without,Pedals ,Wheels ,Saddle ,Handle Bars ,Chain 
Name Something That Changes Colour,Chameleon ,Sky ,Hair ,Leaves ,Flowers 
Name An Excuse A Husband Gives For Coming Home Late,Had To Work Late ,Overtime ,Stuck In Traffic ,Car Broke Down ,Drinking 
Name Something 16 Year Old Girls Might Do At A Sleepover,Talk About Boys ,Put On Make Up ,Gossip ,Stay Up All Night ,Giggle 
Name Something People Do With Pennies,Save / Collect Them,Throw In Fountain ,Put In Jar ,Roll Them Up ,Throw Away 
Name Something A Student Takes To School,Books ,Bag ,Lunch ,Pen ,Pencil 
Name Something You Associate With The Month Of April,Easter ,April Fool ,Showers ,Rain ,Spring 
Name Something To Watch Out For While Skiing,Trees ,Other People ,Boat ,Avalanche ,Flag 
Name A Pet That Lives A Very Long Time,Dog ,Cat ,Turtle ,Parrot ,Bird 
Name Something Most Burglars Never Steal In A Home Robbery,Clothing ,Food ,Pictures / Photos ,Fridge ,Pets 
Name An Animal You Can Recognise Just By Its Nose,Elephant ,Dog ,Pig ,Anteater ,Cat 
Name Something You Really Shouldn't Wear After 50,Mini Skirt ,Bikini ,Swimming Trunks ,Shorts ,Thong 
Name Something That Gets Sliced,Bread ,Tomato ,Cheese ,Meat ,Cake 
Name Something In A Pocket That Might Go Through The Laundry,Money ,Tissue ,Wallet ,Bank Notes ,Chewing Gum 
Name A Breed Of Dog That Would Never Scare Away A Burglar,Chihuahua ,Poodle ,Dachshund ,Cocker Spaniel ,Labrador 
Name Something You Might Find In A Spanish Omelette,Eggs ,Peppers ,Ham ,Onions ,Cheese 
Name A Food You Never Eat With Your Hands,Soup ,Spaghetti ,Ice Cream ,Rice ,Pasta 
Name Something People Throw Away Every Day,Rubbish ,Newspapers ,Paper ,Paper Towels ,Food 
Name Something Batman Doesn't Leave The Batcave Without,Batmobile ,Cape ,Robin ,Utility Belt ,Mask 
Name Something People Practice In The Mirror,Singing ,Dancing ,Speaking ,Smiling ,Modelling 
Name Something You'd Find In A Limousine But Not In A Car,Bar ,Television ,Alcohol ,Wine Glasses ,Chauffeur 
Name Something You Associate With Charlie Chaplin,Moustache ,Silent Films ,Funny Walk ,Comedy ,Top Hat 
Name An Article Of Clothing That Is Often Made From Leather,Jacket ,Shoes ,Belt ,Coat ,Boots 
Name Something You Do To Pop Stuffed Ears,Hold Nose & Blow ,Yawn ,Chew Gum ,Swallow ,Shake Finger In Ear 
Name Something That Would Be Hard To Do Without A Thumb,Write / Hold Pen ,Hitch Hike ,Tie Shoelaces ,Use Scissors ,Light A Lighter 
Name A Way People Communicated Before The Phone,Letters ,Telegram ,Telegraph ,Signals ,Talking 
Name An Occupation That Uses A Microphone,Musician / Singer ,Disc Jockey ,Tv Announcer ,MC ,Radio Announcer 
Name An Age In Which A Person Falls In Love For The First Time,16 ,13 ,15 ,12 ,14 
Name The Youngest Age A Person Should Get Married,20 ,18 ,25 ,21 ,22 
Name Another Word for Mother,Mum ,Mummy ,Ma ,Mama ,Housewife 
How Long In Minutes Does It Take The Average Person To Take A Shower,10 Mins ,15 Mins ,5 Mins ,20 Mins ,30 Mins 
Name Something You Take To The Laundrette,Clothes ,Washing Powder ,A Book ,A Baby ,Newspaper 
Name Someone You Only See Once A Year,Father Christmas ,Grandparents ,Cousins ,Sisters ,Brothers 
The Time Of The Day A Person Is Most Likely To Take A Nap,2pm ,Afternoon ,Noon ,4pm ,3pm 
Name A Pet That Requires Very Little Maintenance,Cat ,Fish ,Bird ,Snake ,Dog 
How Long The Average Person Would Wait For A Table At A Restaurant,30 Mins ,20 Mins ,15 Mins ,45 Mins ,40 Mins 
Name Something A Hypnotist Might Tell You To Do,Close Your Eyes ,Act Like A Dog ,Rest ,Act Like A Chicken ,Give Them Money 
Name Something You Wouldn't Run Over With A Vacuum Cleaner,Cats Tail ,Money ,A Marble ,Dogs Tail ,A Nail 
Name Something You Might Buy From A Pharmacist,Medicine ,Cotton Wool ,Plasters ,Condoms ,Tampons 
Name Something Most People Do Every New Years Eve,Drink ,Go Out ,Have A Party ,Dance ,Make Phone Calls 
Name Something You Do While Driving That You Don't Do On A Test,Speed ,Eat ,Run A Red Light ,No Seatbelt ,Sing 
Name A Person That Wears Gloves,Boxer ,Doctor ,Builder ,Doorman ,Policeman 
Name A Kind Of Footwear Worn By Both Men And Woman,Trainers ,Sandals ,Slippers ,Boots ,Socks 
Name Something You Associate With Halloween,Pumpkin ,Witches ,Trick Or Treat ,Ghosts ,Dressing Up 
Name A Game You Might Find In A Pub,Darts ,Pool ,Cards ,Dominoes ,Bridge 
Name A Film Starring Tom Cruise,Top Gun ,Mission Impossible ,Cocktail ,Vanilla Sky ,War Of The Worlds 
Name A Type Of Nut,Brazil ,Hazel ,Peanut ,Chestnut ,Cashew 
Name An Excuse You Give To Get Off The Phone,Somebody At Door ,Need The Loo ,Dinner Ready ,Call Waiting ,Going Out 
Name A Nickname You Might Call A Loved One,Darling ,Babe ,Sweetheart ,Honey ,Love 
Name Something A Policeman Has,Truncheon ,Helmet ,Police Car ,Horse ,Radio 
Name Something That A Clown Might Wear,Red Nose ,Hat ,Big Shoes ,Wig ,Face Paint 
Name Something People Ride For A Thrill,Rollercoaster ,A Car ,Ferris Wheel ,Motor Bike ,Merry Go Round 
Name Something You Associate With The Ocean,Waves ,Water ,Fish ,Boat / Ships ,Shark 
Name Something That Travels Through Water,Ship / Boat ,Fish ,Submarine ,Dolphin ,Shark 
Name A Common Type Of Ache,Head ,Tooth ,Back ,Ear ,Heart 
Name An Activity Doen In Bare Feet,Swimming ,Water Skiiing ,Running ,Grape Crushing ,Showering 
Name Something That Has An Aerial,A Car ,TV / Television ,Radio ,House ,CB Radio 
Name Something You Associate With Aerobics,Exercise ,Sweat ,Leotards ,Dance ,Gym 
Name Something You Might Find Under A Sink,Detergent ,Pipes ,Plug ,Sponge ,Soap 
Name Something You Associate With Sleeping,Snoring ,Bed ,Dreams ,Pillow ,Night 
Name Something You Associate With Streamers,Party ,Ship Bon Voyage ,Birthday ,Football ,New Years Eve 
Name Something You Might Find In A Briefcase,Papers ,Pen ,Calculator ,Money ,Lunch 
Name Something You Might Find In A Vegetable Patch,Carrot ,Vegetables ,Cabbage ,Potato ,Tomato 
Name Something You Can Feel,Orange ,Potato ,Apple ,Carrot ,Banana 
Name Something Blue,Sky ,Ocean ,Blueberries ,Eyes ,Flowers 
Name Something You Take With You When You Go Shopping,Money ,Purse / Wallet ,List ,Bag ,The Kids 
