Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,Answer 5,#5
Name An Excuse People Give For Not Eating Healthy,No Time,55,Lazy,18,Too Expensive,11,Taste,7,Only Live Once,5
Name A Place Where The Average Person Wouldn’t Last A Day,Jail,43,Desert,24,Military,13,Frozen Tundra,11,Outer Space,6
Tell Me An Activity You Might Do To Prove You Aren’t Afraid Of Heights,Sky Dive,43,Bungee Jump,26,Rock Climb,12,Climb A Ladder,6,Paraglide,5
"Name Something A Soldier Took To The First Day Of Kindergarten, That They Wouldn’t Take To Their First Day Of Training.",Blankey,36,Crayons,21,Lunchbox,15,Teddy Bear,12,Parent,10
Name Someone Who Children Believe In.,Santa Claus,50,God,27,Tooth Fairy,10,Easter Bunny,6,Parents,5
Name Something A Woman Should Know A Man Before Marrying Him,Income,39,Age,26,Does He Have Kids,12,His Name,8,Past Relationships,5
Name Something On The Menu That A Restaurant Might Guarantee Nobody Can Finish.,Steak,63,Burger,16,Pizza,9,Ribs,4,Pasta,3
Name Something You Avoid Doing Though You Feel Better After It’s Done.,Cleaning,52,Exercise,15,Shower,13,Laundry,10,Pay Bills,4
Name Something Specific You Almost Always Eat Out Of A Bag.,Chips,68,Popcorn,18,French Fries,5,Candy,5,Peanuts,3
"Name A Gift That Adults Often Give To Each Other, That Would Be Weird To Give A Kid",Flowers,32,Alcohol,24,Money,18,Jewelry,17,Perfume,6
Name Something You Might See A Lifeguard Carrying,Whistle,33,Life Preserver,28,Towel,15,Surfboard,11,Person,3
Name Something You’d Be Shocked To See Falling From The Sky,Plane,29,Falling Star,24,Money,22,UFO,7,Person,5
"Other Than Presents, What Might You Find Under A Christmas Tree?",Tree Skirt,31,Fallen Ornaments,21,Train,20,Needles,14,Pet,11
Name Something From Her Childhood That A Woman Might Keep Forever.,Doll/ Teddy Bear,52,Diary,17,Pictures,13,Security Blanket,11,Piece Of Jewelry,5
Name A Term That You’d Look Like A Fool For Not Knowing While Bowling,Strike,69,Spare,8,Turkey,8,Gutter Ball,6,Pin,5
Name Something You See On A Christmas Wreath,Bow,34,Holly/ Berries,32,Lights,14,Bells,12,Pine Cones,5
Name A Food Parents Are Afraid To Give Their Children Due To Its Messiness,Pasta,38,Ice Cream,28,Chocolate/ Desserts,22,Sloppy Joe,5,Pizza,4
Name A Place Where People Hope Not To Have A Baby Seated Near Them.,Airplanes,39,Movies,23,Restaurant,17,Bus,8,Place Of Worship,8
Tell Me Something You Do When You Stay Up Late At Night.,Watch TV/ Movie,58,Read,16,Snack,14,Drink,7,Play Computer Games,3
Name A Reason Why A Person Might Prefer To Own A Dog Over A Cat.,Protection,54,Loyality,14,Cat Allergies,11,Friendlier,9,Playful,9
Name A Specific Object On Which You Might See The Word “Caution.”,Road Sign,51,Yellow Tape,20,Wet Floor Sign,10,Hot Drink,15,Poisonous Substance,4
Which Bad Work Trait Would Be Hard To Detect While Interviewing Someone?,Laziness,43,Lateness,27,Lying,11,Stealing,5,Poor Attendance,5
"Name Someone Famous Who Wore A Cape, But Was Not A Superhero.",Dracula,51,Zorro,28,Elvis Presley,7,Sherlock Holmes,7,Pope,5
What Do Teenagers Do With Their Families At The Christmas Holiday That They Probably Would Be Embarassed To Have Known?,Sing Carols,36,Show Affection,25,Dance,18,Play Family Games,17,Pose For Pictures,3
Name Something Given To Both Spoiled Dogs And Spoiled Children,Treats,50,Toys,33,Attention,5,Clothes,4,Praise,3
Name A Job That A Man May Have That Makes Him A Sex Symbol Even Into Old Age,Actor,39,Model,23,Dancer,16,Firefighter,4,President,6
Name A Salty Food That’s Hard To Stop Eating Once You Start.,Potato Chips,46,Peanuts,20,Popcorn,15,French Fries,8,Pretzels,8
Name A Way tourists Get Around In A Big City.,Tour bus,44,Taxi,23,On foot,18,Bilkes,10,Public Transportation,3
"What Might You Do At A Party, That You’d Regret The Next Day?",Drink Too Much,48,Kiss Someone,31,Dance All Night,4,Get Naked,3,Put Foot In Mouth,3
Name Something Kids Do With Bad Test Papers,Throw Away,43,Hide Them,5,Burn Them,5,Change Grade,5,Rip Them,3
"Being In Hot Water Is One Way Of Saying You’re In Trouble, Name Another.",In The Doghouse,30,On Thin Ice,28,In A Pickle,15,Burned Your Bridges,11,River Without Paddle,11
Tell Me A Symbol Used To Represent Love,Heart,59,Cupid,17,Kiss,6,Ring,5,Rose,4
"If You Were Married To A Pirate, What Might You Often Receive For A Gift?",Gold Coins,47,Jewelry,16,Parrot,14,Eye Patch,11,Rum,9
What Would You Hate To Have Happen When Driving Home In A Brand New Car?,Accident,45,Break Down,25,Flat Tire,18,Rain,6,Run Out Of Gas,4
Name An Ingredient That Cookies Would Taste Terrible If You Forgot To Add.,Sugar,56,Flour,24,Eggs,7,Butter,5,Salt,3
What Song Do You Think Santa Claus Has As His Cell Phone Ringtone?,Jingle Bells,60,Santa Claus Is Coming,14,Rudolph,9,Here Comes Santa Claus,8,Santa Baby,3
Name A Way To Get Down From A Tall Building,Jump,32,Elevator,28,Ladder,19,Stairs,8,Scale It,6
Name A Place Where You Hate To See Litter,Park,68,Beach,11,Roadside,8,Yard,7,Schoolyard,3
Name A Place You Hate To See Litter.,Park,68,Beach,11,Roadside,8,Yard,7,Schoolyard,3
Name Something That Gets Activated By Water,Soap,40,Yeast,26,Coffee/ Tea,13,Kool Aid,8,Sea Monkeys,5
Name An Animal You Would Find In The Ocean But Not In A Pond.,Shark,44,Whale,24,Dolphin,16,Octopus,7,Seal,6
Name An Occupation Where You Could Get Away With Reading On The Job,Librarian,59,Writer/ Editor,13,Teacher,13,Secretary,6,Security Guard,5
"On a game show, name something a Host must do.",Make conversation,37,Ask Questions,29,Smile,23,Introduce Teams,4,Sense of Humor,3
"Besides Gamble, Name Something People Do In Las Vegas",Drink,37,Get Married,28,Eat,16,See Shows,9,Shop,7
Name A Specific Reason You’d Get Fired From Your Job As A Zookeeper,Free Animals,31,Don’t Feed Animals,30,Animal Cruelty,13,Sleep On Job,12,Show Up Late,11
Name A Reason You Might Skip Lunch,Not Hungry,45,Too Busy,16,On A Diet,12,Work/Meeting,10,Sick,5
Name Something You Can’t Do While You’re In The Dentist’s Chair.,Talking,56,Eat,19,move,10,Sleep,8,Sing,6
Name Something You Can Do During A Car Trip That You Can’t Do During A Plane Ride.,Pit Stop,45,Smoke,23,Drive,10,Talk On Phone,8,Sing,8
"At A Rock Concert, Name Something People Do When A Song Is Over.",Clap,47,Scream,29,Go Home,12,Call For Encore,6,Sit Down,4
Name A Reason Why Your Kid’s Teacher Might Call From School,Sick,51,Bad Behavior,17,Bad Grades,13,Fight,11,Skipping Class,6
Name Something In Nature That You Wouldn’t Want To Cuddle Up Next To,Bear,43,Snake,16,Porcupine,13,Cactus,10,Skunk,5
"Name Something Kids Do With Snow, But Their Parents Don’t.",Eat It,34,Throw Snowballs,21,Make Snow Angels,16,Build Snowmen,15,Sled In It,9
Tell Me Something Kids Fight Over On A Long Car Ride,Toys,46,Radio,23,Space,18,Window Seat,7,Snack,4
Name Something You Do Constantly When You Have A Cold.,Sneeze,42,Cough,30,Blow Nose,14,Sleep,5,Sniffle,4
"Name Something Deep Sea Divers Wear, That You’d Look Silly Wearing In The Pool.",Flippers,48,Oxygen Tank,33,Mask,8,Wet Suit,7,Snorkle,3
Name An Article Of Clothing That Makes You Feel You Can’t Move,Coat,27,Jeans,26,Girdle,18,Tights,9,Snowsuit,6
Name Something People Often Buy In Large Quantities At The Department Store.,Toilet Paper,35,Socks,35,Food,12,Soap,7,Soda,4
"Why Would Someone Like Star Wars, But Not Star Trek?",Characters,40,More Action,27,Light Sabers,13,Prefer Movies,11,Special Effects,7
What Might You See In A Personals Ad That Makes You Think It Was Placed By A Barbie Doll?,Lookin For My Ken,30,Plastic,27,Blonde Hair,15,Measurements,10,Spelling Errors,9
Name Something A Customer Might Do To Annoy A Waitress.,Send Food Back,40,Not Tip,35,Flirt,6,Snap Fingers,5,Spill Drinks,4
Where Might A Man Take You On A First Date That Would Keep Him From Getting A Second Date?,Bar,33,Strip Club,28,Fast Food resteraunt,17,Zoo,12,Sports Game,5
Tell Me An Excuse You’d Use To Avoid Singing At A Karaoke Club.,Sore Throat/Sick,49,Can’t Sing,24,Lost Voice,13,Too Much Too Drink,7,Stage Fright,5
Name Something A Mom Might Make Her Daughter Wait Til She’s 12 Years Old To Do.,Wear Makeup,28,Shave,25,Pierce Ears,23,Cook,10,Stay Home Alone,3
Name A Food That’s Associated With Romance.,Chocolate,42,Strawberries,30,Oysters,12,Spaghetti,8,Steak,5
Name A Hidden Cost When Buying A Car.,Title,38,Interest,22,Tax,20,Air Conditioner,8,Stereo,7
Name An Item That Usually Comes With A Lot Of Packaging In The Box.,Glass/Dishes,43,TV,33,Computer,10,Toys,6,Stereo,5
"Without Yelling, How Does A Mime Defend His Position In An Argument?",Gesture,45,Point Finger,26,Facial Expression,13,Battle,5,Stomp,4
Name A Common Sickness That Kids Seem To Get More Often Than Adults,Cold,32,Flu,30,Chicken Pox,28,Ear Infection,5,Strep Throat,3
Name Something That Will Make A Person Age Faster.,Smoking,44,Sunbathing,23,Drinking,16,Lack Of Sleep,8,Stress,5
What Might You Do In Your Sleep That Someone Else Would Find Cute?,Talk,55,Snore,25,Smile,8,Drool,7,Suck Thumb,3
Name Something That Stars Do During A Divorce That You Wouldn’t Do.,Fight,28,Party,28,Date Right Away,18,Go Public,5,Sue For Large Sums,5
Name Something A Diver Might Look For Underwater,Marine Animals,52,Treasure,22,Shells,10,Missing Person,8,Sunken Ship,5
Which Article Of Clothing Do You Suspect Every Farmer Owns?,Overalls,53,Cowboy Hat,16,Blue Jeans,13,Boots,8,Suspenders,7
Name A Sports Uniform That Many Men Look Sexy in.,Baseball,33,Football,30,Soccer,11,Basketball,8,Swimwear,6
Which Circus Or Sideshow Performer Had Better Have A Good Insurance Policy?,Lion Tamer,42,Trapeze Artist,17,Tightrope Walker,13,Fire Eater,9,Sword Swallower,8
Name A Class Offered At Gyms Now That Wasn’t Offered 20 Years Ago,Yoga,44,Spinning,28,Pilates,18,Dance Workout,6,Tae Bo,3
Tell Me A Popular Type Of Homemade Candy Served During The Holidays,Fudge,44,Chocolates,21,Peanut Brittle,14,Toffee,9,Taffy,7
Name Something Skydivers Do Before Jumping Out Of The Airplane,Pray,67,Check Parachute,12,Scream,9,Close Eyes,5,Take A Deep Breath,4
Name Something You Might Stop To Do When Driving Across The Country.,Eat,27,Rest Stop,24,Fill Up Gas,21,Ask Directions,12,Take Pictures,12
How Can You Tell The Person You’re Talking To Is Not Interested In Listening?,Not Looking At You,41,Yawning,30,Fall Asleep,16,Rolling Eyes,6,Talking to Someone Else,5
How Can You Tell That Somebody Just Got Back From A Camping Trip?,Dirty,58,Carrying Gear,15,Tired,9,Bug Bites,8,Tanned,5
"Name Something That Happens To Most People, But Not To Santa Claus.",Death,41,Get Old,33,Traffic Problems,11,Weight Loss,5,Taxation,3
Name A Piece Of Information Listed On A Baseball Scoreboard.,Score,57,Runs,17,Outs,10,Inning,7,Teams,6
Name A Complaint A Costumer Might Have About Their Hotel Room,Dirty,34,Noise,28,No Towels,16,Smell,14,Temperature,3
Which Show Might You See A Man On That Would Cause You To Cancel Your Date With Him Immediately?,Cops,31,Cheaters,27,America’s Most Wanted,21,Jerry Springer,13,The Bachelor,5
Name Something That Parents Are Always Telling Their kids To Clean.,Their Rooms,49,Their Teeth,17,Their Hands,13,Behind Their ears,10,Their Plates,8
Name A Good Place To Put Your Hands While Kissing Someone.,Their face,27,Around Their Neck,19,Their Hips,16,Their Back,16,Their Shoulders,9
Name Someone Other Than Family And Friends That You Would Confide In,Pastor,45,Teacher,26,Doctor,9,Co Worker,7,Therapist,5
Why Might A Person Drink Tea Instead Of Coffee?,Less Caffeine,52,Taste,21,Healthier,10,Have A Cold,8,They’re English,5
Name A Children’s character who’s associated with being small.,Tiny Tim,33,Tinkerbell,20,Tom Thumb,19,Stuart Little,15,Thumbelina,4
Name Something People Wear That Only Comes In One Size.,Hat,38,Glasses,22,Scarf,12,Gloves,10,Tie,8
What Item That You Wear Year-Round Gets Exceptionally Gaudy During The Holidays?,Sweater,32,Hat,28,Socks,21,Earrings,11,Tie/Scarf,5
Name A Reason A Couple Might Not Want To Have Kids.,Expensive,35,Too Old,25,Focus On Career,14,Not Married,14,Too Young,10
"Tell Me Something You Use At Work Everyday, But Would Hate To Have To Use On Vacation",Computer,50,Phone,27,Ax,6,Calculator,3,Tools,3
What Is Something Your Spouse Does To Prevent You From Sleeping?,Snore,45,Talk,30,Snuggle,17,Watch TV,4,Toss And Turn,3
Name Something Cats Can Chase All Day.,Mice,35,Tail,23,Ball Of Yarn,11,Birds,9,Toys,8
Which Kind Of Pants Are Best To Wear When You’re Planning To Overeat At Thanksgiving?,Sweat Pants,38,Stretch Pants,35,Jeans,18,Overalls,3,Track Pants,3
Name A Small Space Where You Feel Compelled To Make Small Talk With A Stranger.,Elevator,37,Airplane,31,Restroom,16,Waiting Room,9,Train Station,5
Name Something Parents Wouldn’t Want To Find Under Their Child’s Bed,Magazines,62,Moldy Food,24,Dirty Clothes,5,Boogieman,4,Trash,3
Name Something That You Would Find Washed Up On A Beach.,Shells,37,Whale,27,Message In A Bottle,16,Seaweed,11,Trash,4
Name Something You See In Someone’s Yard As A Holiday Decoration.,Lights,35,Santa,28,Snowman,17,Reindeer,10,Tree,7
Tell Me Something Spies Wear To Disguise Their Identity.,Sunglasses,38,Mask,27,Wig,27,Facial Hair,4,Trench Coat,3
Name A Game That A Barfly Would Be A Little Too Good At,Darts,57,Billiards,18,Poker,8,Foosball,4,Trivia,3
Name Something A Couple Starts Fighting About Once They Move In Together.,Money,41,Space,38,Cleaning,7,Bathroom,7,TV,4
"At A Public Pool, What Might You Pay Extra To Rent?",Locker,35,Towel,26,Chair,16,Inner Tube/Float,12,Umbrella,9
Name Something People Do To Save Energy Around The House,Turn Off Lights,55,Set Thermostat Low,23,Use Less A/C,9,Efficient Bulbs,4,Unplug Electronics,3
What Might A Shopaholic Do At The Store To Prevent Overspending,Leave Store,32,Carry No Money,26,Cash Not Credit,26,Set A Budget,6,Use Coupons,6
Tell Me The Worst Way For Someone To Wake You Up.,Scream,39,Splash With Water,37,Shake You,10,Jump On Bed,6,Use The Alarm,5
Name A Day When Kids Get A Lot Of Candy,Halloween,64,Easter,13,Christmas,5,Birthday,5,Valentine’s Day,3
Name Something Fierce Animals Have That Makes Them Threatening.,Sharp Teeth,50,Claws,18,Roar,14,Horns,5,Venom,5
"What Do Santa Claus, Easter Bunny, And The Tooth Fairy Have In Common?",Some Don’t Believe,33,Special Occasions,26,Bring Gifts,18,Kids Love Them,13,Visit At Night,3
"When It’s Cold Outside, Name Something You Dream About Doing On A Sunny Beach",Tanning,43,Swimming,25,Tropical Drinks,9,Picnic,8,Volleyball,5
"Name An Activity That’s Often Described In Christmas Songs, Tho People Seldom Do It In Real Life.",Carol,35,Deck The Halls,24,Sleigh Ride,18,Roast Chestnuts,16,Walk/Play In Snow,6
What Might A Woman Have To Do In Order To Become A Supermodel?,Diet,53,Exercise,15,Plastic Surgery,12,Get Head Shots,6,Wear Stylish Clothes,4
Name An Occasion For Which Men Buy Gifts For Their Wives.,Anniversary,46,Birthday,30,Valentine’s Day,7,Christmas,4,Wedding,3
Name A Place Where You’d Be Mortified If Your Cell Phone Went Off.,Church,39,Funeral,37,Movies,7,Job Interview,4,Wedding,4
Name Something Moms Warn Their Children Will Make Them Catch A Cold.,Not Wearing Jacket,34,Germs,26,Not Wearing Shoes,15,No Hat,7,Wet Head,5
Name The First Thing You’D Say To The Other Driver After A Fender Bender,Sorry,56,Are You Ok?,23,Have Insurance?,10,Curse Word,5,What Were You Doing?,4
Name A Physical Characteristic A Store Might Look At When Hiring A Santa,Big Belly,48,Facial Hair,35,Age,6,Jolly Face,5,White Hair,3
Name Something You Change On Or In Your Car,Oil,45,Tires,25,Radio Station,11,Brake Pads,6,Windshield Wipers,4
"Real Or Fictional, Name A Famous Cowboy",John Wayne,39,Roy Rogers,18,Billy The Kid,12,Lone Ranger,10,Woody,9
Where Might A Pet Lover Think Their Dog Should Be Allowed?,Store,33,Restaurant,18,Park,16,Hotel,12,Work,9
Name A Place Where You Get Antsy From Sitting Too Long.,Church,44,School,19,Movie Theatre,12,Waiting Room,8,Work/Meeting,7
Name Something Specific That A Superhero Would Be Useless Without.,Flying,53,Costume,25,Super Strength,6,Sidekick,5,X Ray Vision,4
Where Do You Get Your Christmas Tree From Each Year?,Store,34,Woods,33,Tree Lot,11,Tree Farm,8,Attic,5
What Might Someone Use While Cutting Their Own Hair?,Scissors,48,Mirror,24,Clippers,10,Comb,7,Bowl,3
Name Something You Do While Waiting In Line,Read,33,Talk On Cellphone,23,Hum/Whistle,17,Think,7,Complain,6
Name Something New Parents Have To Agree On Before their Baby Is born,Name,52,Religion,29,Room Color,8,Childcare,5,Discipline,3
Name A Place It Would Be Strange To Go If You Didn’t Have Kids,Park/Playground,33,Chuck E Cheese,22,Zoo,14,School/Daycare,12,Disney/Amusement Park,12
"If Money Isn’t An Object, Who Do People Hire To Help Make Their Lives Easier?",Maid,55,Chef,20,Butler,10,Nanny,7,Driver,3
What Do Most People Hope To Accomplish By The Time They Are 30?,Pursue A Career,36,Get Married,28,Have Kids,12,Buy A House,9,Finish College,9
Name An Occupation In Which You Might Be In A New City Every Night.,Pilot,47,Salesperson,17,Musician,10,Truck Driver,8,Flight Attendant,7
What Do People Miss About Their Youth?,Energy,29,Looks,28,Fun,19,Going To School,12,Freedom,10
Name Something People Compete Over.,Dates,33,Sports,31,Money,13,Jobs,10,Games,4
Which Sports Are More Popular In America Than In Other Countries?,Football,65,Baseball,17,Basketball,7,Hockey,5,Golf,3
Name A Reason Why You Might Want To Hide From Someone At Work,Don’t Like Them,39,Late,29,Owe Them Money,19,It’s Your Ex,8,In Trouble,4
"Name Something Some Pets Wear, Although It’s Usually Only Worn By Humans.",Sweater,39,Shirt,25,Coat,14,Shoes,8,Jewelry,4
Name Something You’d Hate To Lose At The Airport.,Luggage,36,Boarding Pass,21,ID/Passport,17,Money,13,Kids,4
Name Something That’s Hard To Get Over.,Breakup,44,Death,35,Fence,8,Virus,7,Mountain,5
Which Characteristics Would Make Dracula Sound Attractive In A Personal’s Ad?,Dark Hair,42,Tall,28,Well Dressed,9,Accent,7,Mysterious,4
How Can You Tell Somebody Is Angry At You From Their Text Messages?,All Caps,68,Exclamation Points,12,Swearing,7,Angry Face,6,No Response,5
What Do Roommates Fight About Most Often?,Bills,34,Cleaning,28,Food,19,Bathroom,5,Noise,3
"If You Could Choose, What Would Be An Ideal Place To Meet Your Future Mate?",Place Of Worship,38,Shopping Center,21,Park,15,Work,12,Party,5
"If A Man Is Trying To Get A Date With A Woman, What Might He Do In Order To Woo Her?",Send Flowers,42,Buy Her A Drink,16,Compliment Her,16,Flirt,12,Pickup Line,9
"Other Than Working, Name Something You Could Stop Doing If You Became A Millionaire.",Cleaning,38,Driving,29,Cooking,19,Worrying,9,Saving,3
Name A State That Many People Live In When They Retire.,Florida,49,California,19,Arizona,18,Hawaii,6,Texas,6
Name Something A Restaurant Owner Would Hate To Tell Customers They’ve Run Out Of,Food,50,Coffee,24,Space,12,Alcohol,7,The Special,6
Name Something People Take lots Of Photos Of During A Vacation. Be Specific.,Themselves,42,Oceans,24,Tall Buildings,11,Landmarks,7,Trees,4
Name Something You Can Do On Even The Oldest Of Computers.,Word Processing,36,E Mail,20,Print,16,Play Solitaire,14,Use Calculator,11
What Name Would You Give Your Daughter If You Wanted To Name Her After A Queen?,Elizabeth,56,Victoria,14,Mary,12,Cleopatra,5,Anne,4
Name A Job You Would Only Do At Night.,Night Watch,48,Bartender,16,Entertainer,14,Janitor,12,Bouncer,7
Name Something You Use To Bake A Pumpkin Pie.,Pumpkin,44,Oven,23,Pie Pan,12,Spices,8,Evaporated Milk,3
Name A Reason Why A Boss Calls An Employee Into His Office.,Getting Let Go,44,Promotion/Raise,34,Lateness,13,Warning/Reprimand,4,Have A Meeting,3
"If A Woman Had A Mid-Life Crisis, What Might She Do?",Buy New Car,45,Have An Affair,21,Plastic Surgery,17,Shopping Spree,8,Cut/Dye Hair,8
Name A Place Where It Would Be Strange To Go If You Didn’t Have Kids.,Park/ Playground,33,Chuck E Cheese,22,Zoo,14,School/ Daycare,12,Disney/ Amusement Park,12
Name Something Cheesy People Do In Family Portraits.,Wide Smile,42,Bunny Ears,25,Make Faces,11,Pose,5,Dress Alike,3
Name Something A Young Man Would Not Want To Talk To A Girlfriend’s Father About.,Relationship,34,Marriage,31,Money,15,Ex Girlfriends,7,Maternity,6
Name A Kind Of Pants You Can’t Wear To Work.,Jeans,61,Sweats,22,Leather,6,Stretch Pants,5,Pajama Pants,3
Name A Fast Food Restaurant People Would Recognize By Their Sign.,McDonalds,39,Burger King,25,Taco Bell,14,KFC,11,Pizza Hut,5
"Other Than Love, Name Something That “Money Can’t Buy”.",Happiness,38,Health,22,Friendship,14,Family,8,Time,7
how Many Hours Of Sleep Does The average person Need In Oder To Wake Up Refreshed?,8,47,7,18,6,17,10,3,9,3
"Name Something That Happens To An Old Person’s Body, That You’d Be Surprised To Hear A teen Complaining About",Wrinkles,50,Arthritis,25,Gray Hair,8,Sagging,8,Back Ache,7
Name A recreational Activity Traditionally Don In Hot Weather,Swimming,44,Baseball,18,Volleyball,17,Surfing,11,Boating,7
Name A Messy Food You Can tell A Kid Has Been Eating,Spaghetti,30,Ice Cream,28,Chocolate,23,Pizza,10,Cake,6
Name Something Dog Owners Probably Wish Their Dogs Never Did,Go To The Bathroom,56,Bark,27,Bite,5,Shed,3,Dig Holes,3
Name something A House Needs In Order To Be Considered A Mansion,Lots Of rooms,33,Pool,28,staff,22,Elevator,8,Gate,4
Name Something In The Kitchen That Makes A Huge Mess If It’s Spilled,Milk,39,Juice / Kool Aid,17,Flour,15,Cooking Oil,12,Grease,8
"Name A Topic Most Men Can’t Stand, But Women Could Discuss For Hours",Shopping,44,clothes,19,Soap Operas,14,Men,11,Hair,7
"Instead Of A veil, What type Of Headwear Would You Be Surprise To See On A Bride’s Head?",Crowne,45,Beanie,28,Baseball Cap,9,Cowboy,8,Helmet,7
"If Your blind date walked In And You Didn’t Feel A Spark, What Would YOu Do?",Sneak Out,42,Finish The date,23,Make Up An Excuse,18,Be Honest,10,Hide,3
Name A Kids Toy Your Parent’s Might Have Played With Thats still Around,Barbie Doll,45,Yo Yo,15,Baby Doll,15,Top,11,Hula Hoop,9
Name Something That’s Usually Fruit-Flavored,Gum/Candy,44,Juice,22,Jell O,10,Soda,6,Ice Cream,5
Name Something You Can’t Do In A Home Gym Thant You Can Do In A Real Gym,Swim,40,Run Track,33,Sauna,8,Lift Weights,6,Socialize,5
Name Something A Kid Picks Up From School,Germs/Sickness,61,Homework,16,Lice,11,Bad Habits,6,Swears,3
What Are The Most Common Terms Of Endearment Used When A Person Is Talking To Their Partner,Honey,36,Love,20,Baby,18,Dear,7,Sweetheart,5
Name A Place You’d Get A Dirty Look For Falling Asleep,Place Of Worship,47,Work,25,School,18,Public Transit,4,Theater,3
Name A Time You Shouldn’t Send A text Message To Your Love Interest,At Work,41,Midnight,22,While Driving,13,Mad,12,When Drinking,10
Tell Me The Age That Most People Want To Live Until.,100,51,80,21,90,15,75,5,70,5
Name A Time When You Should Not Send A Text Message To Your Love Interest.,At Work,41,Midnight,22,While Driving,13,When Mad,12,After Drinking,10
What Do People Bring Back As A Souvenir From Disneyworld?,Mouse Ears,41,T Shirt,30,Keychain,9,Stuffed Animal/ Doll,8,Autograph,4
"If You Lived In Soap Opera Land, Name Something That Would Happen A Lot More Often.",Drama/ Fights,25,Suspicious Deaths,20,Love Affairs,20,Romance/ Weddings,12,Break Ups/ Divorce,10
Name Something Runners Do Right After They Finish A Marathon.,Drink Water,63,Rest,12,Celebrate,9,Walk Around,5,Eat,3
Name A Type Of Crisis That Usually Happens At Least Once In An Action Movie.,Violent Crime,38,Explosion/ Fire,20,Kidnapping,16,Car Crash/ Chase,13,Fight,8
"Name Something A Girl In A Pageant Would Know How To Do, But Most Little Girls Wouldn’t.",ID,49,Hair,19,Name,18,Facial Hair,10,Glasses,3
"Name A Topic Most Men Can’t Stand, But Many Women Could Discuss For Hours.",Shopping,44,Clothes,19,Soap Operas,14,Men,11,Hair,7
Name something special a restaurant might do on certain nights in order to draw in customers?,Food Discounts,49,Happy Hour,19,Kids Eat Free,11,Buffet,4,Life Music,3
Name A Reason Why A Man Might Not Want His Wife To Have A Girl’s Night Out.,Jealous,57,Drinking,21,No Dinner,11,Has To Watch Kids,3,Lonely,3
Name A Shakespeare Character Who Most People Have Heard Of.,Romeo,56,Hamlet,20,Juliet,15,Macbeth,3,Othello,3
Name A Halloween Costume People Wear If They Don’t Want To Go All Out,Ghost,50,Witch,36,Pumpkin,5,Vampire,4,Pajamas,3
Why Might Someone Prefer Online Dating Over Meeting In A Bar?,They’re Shy,46,Not Just About Looks,17,It’s Safer,12,Convenience,11,People Are Sober,5
Who Or What Might Enter A House Without Using The Front Door?,Burglar,35,Pet,29,Santa Claus,18,Kid/ Teen,10,Police Officer,5
Name Something Moms Are Desperate For.,Money,31,Sleep,25,Free Time,14,Help,11,Quiet,9
"Name Something You’re Supposed To Do With Both Hands, But People Often Use Just One.",Drive,49,Eat,24,Type,17,Clap,5,Ride A Bike,3
"Name Something Your Grandma Might Repair When It Gets Old, But You Just Buy A New One.",Car,30,TV,26,Socks,21,Sweater,14,Shoes,5
Tell Me Something A Child Might Complain About On A Road Trip.,Sitting Too Long,36,Need A Bathroom,30,Hungry,22,Bored,6,Temperature,4
Name Something You’d Put In A Breakfast Buritto,Eggs,44,Cheese,25,Meat,12,Beans,10,Tomato/Salsa,7
We Asked 100 Women:Which Accessory Or Piece Of Clothing Do You Buy Most Often?,Shoes,49,Shirt,14,Jewelery,12,Bra,9,Underware,7
"If You Could Choose Your Neighbors, Which Traits Would You Look For?",Quiet,40,Friendly,36,Trustworthy,9,Clean,8,Attractive,3
Name Something You Spend Less Time Doing When You’re On Vacation,Working,37,Sleeping,28,Worrying,21,Watching TV,6,Cleaning/Cooking,6
Name An Activity That Boys Do In A Tree House,Play Cards,31,Comic Books,24,Smoke,14,Talk About Girls,11,Eat Snacks,5
What Do You Think A High School Mascot Wears Under His Costume?,Nothing,48,Shorts,21,Underwear,21,Tights,5,T Shirt,3
"Besides Watching It, Name Something people Do In Front Of The Television",Eat,48,Sleep,23,Exersice,11,Games,5,Talk,4
Name Something Adults Always Ask Kids About School,Have Homework?,36,How Are Your grades?,32,How Was Your Day?,18,What Did You Learn?,6,When Is Your Test?,3
Name A Muscle That A Body Builder Would Show Off,Upper Arm,40,Chest,27,Stomach,20,Calf,6,Butt,3
What Are The Most Popular Types Of Flowers Used In A Wedding,Roses,44,Tulips,23,Lilies,18,Carnations,11,Daisies,3
Name Someone Specific Who You wouldn’t Want Viewing Your Facebook Page,Parent,44,Boss,31,Ex,17,partner,4,Kids,3
"if A Mouse Pad Were A Place Where Bachelor Mice Lived, What Would You Likely Find Inside",Cheese Bar,63,Beer,18,Dirty Clothes,6,Female Mice,3,Mini TV,3
Name The Age At Which People Stop Borrowing Money From Their Parents,35,27,25,24,21,21,18,16,Never,10
Name A Household Chore You Do While Sitting,Dusting,33,Folding Laundry,32,Ironing,17,Mending Clothes,10,Paying Bills,5
Name An Animal That’s Black-And-White,Zebra,51,Skunk,17,Panda Bear,13,Cow,4,Penguin,3
Name Something A Cowboy Probably Leaves At Home For A Job Interview,10 Gallon Hat,39,Gun,25,Horse,24,Boots,7,Rope,3
Name Something Both A Logger And A Rock Star Wear,Boots,50,Hat,24,Jeans,10,Flannel Shirt,6,SunGlasses,6
