Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7
Name Something That Becomes More Active After Dark,BATS,OWLS,NIGHT CLUBS,BUGS,VAMPIRES,CRIMINAL BEHAVIOR,RACCOONS
Name A Kevin Bacon Film,Footloose,Tremors,Diner,Mystic River,Hollow Man,Apollo 13,A Few Good Men
"If Students Ran Schools,Name Some Things They Would Probably Get Rid Of",Teachers,Principal,Homework,Rules,Tests,Detention,Bell
Name A Reason A Person Might Pretend To Be Older,Buy Beer,See Music,Drive,FJob Interview,Impress Someone,Buy Cigarettes,Date
"When A Person Wants To Sneak A Cigarette, Where Do They Usually Hide",Outside/Alley,Bathroom,Stairway,Balcony,Basement,Bar,Garage
Name Something A Teenage Girl’s Parents Would Hope Thet Her Boyfriend Didn’t Have,Car,Tattoo,Motorcycle,Piercings,Kid,Criminal Record,His Own Place
Name An Occupation Where You Might Work All Night,Security Guard,Police Officer,Nurse,Conv. Store Clerk,Factory Worker,Doctor,Janitor
"If Your Cat Went On Strike,Name Something He Might Demand Before Returning To Work As Your Pet",Better Food,Clean Litter Box,Catnip,More Toys,Raise,Cat House,More Milk
"Name something you fold, be specific",T-Shirt,Towels,Underwear,Sheets,Jeans,Paper,Napkin
"Name Something You Fold, Be Specific",Paper,Napkin,Towels,Shirts,Underwear,Sweaters,Sheets
"Name Something That Looks Attractive On A Woman, But Not A Man",Dress,Jewelry,Makeup,Bra,Skirt,High Heels,Bikini
Name a way you might be able to tell a woman is really a man in drag,Adam’s Apple,Deep Voice,Facial Hair,Hands,Muscles,Hairy Legs,Bone Structure
Name Something People Consider A Snack Food,Chips,Popcorn,Peanuts,Crackers,Pretzels,Fruit,Cookies
Name Something That People Put In Their Ears,Ear Plugs,Q Tips,Earrings,Fingers,Head Phones,Hearing Aids,Ear Drops
Name An Alternative To Turkey On Thanksgiving,Ham,Chicken,Duck,Tofu Turkey,Lamb,Beef,Goose
Tell me something you’d hate to find on the end of your nose,A Pimple,Booger,Wart,A Bug,Food,Nosering,Hair
Name a famous Ghost,Casper,Headless Horseman,Nearly Headless Nich,Ghost of Xmas Past,Ghost of Xmas Future,Christmas Present,Jacob Marley
At What Place Might A Celebrity Get Special Treatment,Restaurant,Hotel,Store,Club,Hospital,Rehab,Jail
Name Something That’s Different In Different Regions Of A Country,Cuisine,Accent,Weather,Time Zone,Region,Style,Laws
Name A Specific Food Or Drink That Vendors Walk Around Selling At Sports Games,Hot Dogs,Beer,Soda,Popcorn,Peanuts,Water,Lemonade
Name A Sport That Doesn’t Require A Lot Of Equipment,Basketball,Swimming,Running,Soccer,Baseball,Tennis,Martial Arts
Name something you can do to your nose,Blow It,Peirce,Pick It,Change It,Clean It,Wipe It,Scratch It
Name something you might see at the North Pole,Snow,Polar Bears,Santa Claus,Icebergs,Penguin,Research Station,Seals
Name Something People Do On The Day After Thanksgiving,Shop,Sleep,Eat Leftovers,Xmas Decorations,Clean Up,Watch Football,Start A Diet
Real Or Fictional Name A Famous Family That Has A Lot Of Kids,Brady Bunch,The Jacksons,The Kennedys,The Partridge Family,The Duggars,Cosby Family,The Waltons
"Name Something You Might Find In A Kids Lunch Box (Food Is Not An Answer, Be More Specific)",Sandwich,Fruit,Cookies,Juice Box,Milk,Candy Bar,Thermos
Name Something That You Probably Don’t Wash As Often As You Should,Car,Hands,Hair,Sheets,Clothes,Ears,Windows
Name A Souvenier People Buy At Disneyland,Mickey Mouse Ears,Shirts,Cups,Key Chain,Lollypop,Pen/Pencil,Postcard
Name The Most Popular Halloween Masks,Scream,Jason,Ghost,Witch,Frankenstein,Skull,Presidents
Name Something A Ten Year Old Boy Might Ask For,Bicycle,Video Games,Remote Control Car,Money,GI Joe,Computer,Truck
Name Something Women Do While Their Husbands Watch Monday Night Football,Cook,Read,Shop,Sleep,Talk On Phone,Clean,Watch The Game
